"","age_cut","sido1","q6_1","nn"
"213","g60",1,"125   ",1
"214","g60",1,"154   ",1
"215","g60",1,"176   ",2
"216","g60",1,"182   ",1
"217","g60",1,"189   ",1
"218","g60",1,"201   ",1
"219","g60",1,"232   ",1
"220","g60",2,"022   ",1
"221","g60",2,"026   ",1
"222","g60",2,"169   ",1
"223","g60",2,"170   ",1
"224","g60",2,"171   ",1
"225","g60",2,"176   ",1
"226","g60",2,"207   ",2
"227","g60",4,"176   ",1
"228","g60",5,"008   ",1
"229","g60",5,"052   ",1
"230","g60",5,"176   ",1
"231","g60",5,"236   ",1
"232","g60",6,"153   ",1
"233","g60",8,"082   ",1
"234","g60",8,"171   ",1
"235","g60",8,"176   ",1
"236","g60",9,"052   ",1
"237","g60",9,"176   ",1
"238","g60",9,"236   ",1
"239","g60",10,"176   ",1
"240","g60",11,"171   ",1
"241","g60",12,"176   ",2
"242","g60",13,"070   ",1
"243","g60",13,"171   ",1
"244","g60",13,"176   ",1
"245","g60",14,"082   ",1
"246","g60",14,"176   ",1
"247","g60",15,"082   ",1
"248","g60",15,"188   ",1
"249","g60",15,"229   ",1
"250","g_over60",1,"030   ",1
"251","g_over60",1,"034   ",1
"252","g_over60",1,"070   ",1
"253","g_over60",1,"125   ",1
"254","g_over60",1,"128   ",1
"255","g_over60",1,"182   ",1
"256","g_over60",1,"201   ",1
"257","g_over60",1,"235   ",1
"258","g_over60",2,"123   ",1
"259","g_over60",2,"208   ",1
"260","g_over60",2,"225   ",1
"261","g_over60",4,"168   ",1
"262","g_over60",7,"171   ",1
"263","g_over60",7,"201   ",1
"264","g_over60",8,"011   ",1
"265","g_over60",8,"030   ",2
"266","g_over60",8,"171   ",1
"267","g_over60",8,"176   ",2
"268","g_over60",8,"182   ",1
"269","g_over60",8,"207   ",1
"270","g_over60",8,"208   ",1
"271","g_over60",9,"176   ",1
"272","g_over60",10,"176   ",1
"273","g_over60",10,"207   ",1
"274","g_over60",11,"082   ",1
"275","g_over60",11,"171   ",1
"276","g_over60",11,"176   ",1
"277","g_over60",11,"188   ",1
"278","g_over60",12,"176   ",2
"279","g_over60",13,"082   ",1
"280","g_over60",13,"171   ",1
"281","g_over60",14,"188   ",2
"282","g_over60",15,"176   ",1
"283","g_over60",16,"070   ",1
"284","g_over60",16,"188   ",1
