"","age_cut","sido","q6_1","nn"
"1","g10","서울","일본 ",1
"2","g10","서울","필리핀 ",1
"3","g10","경기","라오스 ",1
"4","g10","경기","일본 ",2
"5","g10","경기","중국 ",1
"6","g10","경기","필리핀 ",2
"7","g10","충북","중국 ",1
"8","g10","전남","오스트레일리아 ",1
"9","g10","경북","필리핀 ",1
"10","g20","서울","괌 ",1
"11","g20","서울","네팔 ",1
"12","g20","서울","대만 ",2
"13","g20","서울","마카오 ",1
"14","g20","서울","미국 ",2
"15","g20","서울","베트남 ",1
"16","g20","서울","이탈리아 ",2
"17","g20","서울","일본 ",2
"18","g20","서울","체코 ",1
"19","g20","서울","태국 ",2
"20","g20","서울","필리핀 ",2
"21","g20","서울","헝가리 ",1
"22","g20","서울","홍콩 ",1
"23","g20","부산","대만 ",1
"24","g20","부산","일본 ",1
"25","g20","부산","캐나다 ",1
"26","g20","대구","대만 ",1
"27","g20","대구","싱가포르 ",1
"28","g20","대구","오스트레일리아 ",1
"29","g20","대구","캄보디아 ",1
"30","g20","대구","홍콩 ",1
"31","g20","인천","일본 ",1
"32","g20","광주","일본 ",1
"33","g20","대전","대만 ",1
"34","g20","대전","싱가포르 ",1
"35","g20","대전","일본 ",1
"36","g20","대전","중국 ",1
"37","g20","울산","터어키 ",1
"38","g20","경기","괌 ",1
"39","g20","경기","대만 ",1
"40","g20","경기","독일 ",1
"41","g20","경기","미국 ",1
"42","g20","경기","베트남 ",2
"43","g20","경기","스위스 ",1
"44","g20","경기","스페인 ",1
"45","g20","경기","영국 ",1
"46","g20","경기","이탈리아 ",1
"47","g20","경기","일본 ",2
"48","g20","경기","중국 ",2
"49","g20","경기","체코 ",1
"50","g20","경기","태국 ",2
"51","g20","경기","프랑스 ",1
"52","g20","경기","필리핀 ",1
"53","g20","경기","홍콩 ",2
"54","g20","강원","캄보디아 ",1
"55","g20","충북","미국 ",1
"56","g20","충북","스페인 ",1
"57","g20","충북","인도네시아 ",1
"58","g20","충북","일본 ",1
"59","g20","충남","대만 ",1
"60","g20","충남","싱가포르 ",1
"61","g20","충남","일본 ",2
"62","g20","전북","괌 ",1
"63","g20","전북","대만 ",1
"64","g20","전북","일본 ",1
"65","g20","전북","중국 ",1
"66","g20","전북","필리핀 ",2
"67","g20","전북","홍콩 ",2
"68","g20","전남","말레이지아 ",1
"69","g20","전남","스페인 ",1
"70","g20","전남","일본 ",1
"71","g20","전남","프랑스 ",1
"72","g20","전남","홍콩 ",1
"73","g20","경북","일본 ",1
"74","g20","경북","중국 ",1
"75","g20","제주","영국 ",1
"76","g20","제주","인도네시아 ",1
"77","g20","제주","일본 ",1
"78","g30","서울","괌 ",1
"79","g30","서울","네덜란드 ",1
"80","g30","서울","대만 ",1
"81","g30","서울","독일 ",1
"82","g30","서울","마카오 ",1
"83","g30","서울","말레이지아 ",1
"84","g30","서울","미국 ",1
