"","age_cut","sido","q6_1","nn"
"1","g10","서울","070   ",1
"2","g10","서울","128   ",1
"3","g10","부산","171   ",1
"4","g10","대구","171   ",1
"5","g10","인천","232   ",1
"6","g10","대전","030   ",1
"7","g10","대전","176   ",1
"8","g10","울산","171   ",1
"9","g10","경기","070   ",1
"10","g10","경기","169   ",1
"11","g10","경기","176   ",1
"12","g10","충남","128   ",1
"13","g20","서울","030   ",1
"14","g20","서울","052   ",1
"15","g20","서울","070   ",1
"16","g20","서울","123   ",1
"17","g20","서울","128   ",1
"18","g20","서울","153   ",1
"19","g20","서울","171   ",1
"20","g20","서울","176   ",2
"21","g20","서울","229   ",1
"22","g20","서울","232   ",1
"23","g20","서울","236   ",1
"24","g20","부산","149   ",1
"25","g20","부산","168   ",1
"26","g20","부산","171   ",1
"27","g20","부산","207   ",1
"28","g20","대구","030   ",1
"29","g20","대구","082   ",1
"30","g20","대구","122   ",1
"31","g20","대구","168   ",1
"32","g20","대구","171   ",1
"33","g20","대구","229   ",1
"34","g20","광주","176   ",1
"35","g20","광주","232   ",1
"36","g20","대전","188   ",1
"37","g20","경기","030   ",1
"38","g20","경기","034   ",1
"39","g20","경기","055   ",1
"40","g20","경기","070   ",1
"41","g20","경기","122   ",1
"42","g20","경기","123   ",1
"43","g20","경기","149   ",1
"44","g20","경기","153   ",1
"45","g20","경기","154   ",1
"46","g20","경기","168   ",1
"47","g20","경기","170   ",1
"48","g20","경기","171   ",2
"49","g20","경기","176   ",1
"50","g20","경기","189   ",1
"51","g20","경기","190   ",1
"52","g20","경기","207   ",1
"53","g20","경기","208   ",1
"54","g20","경기","229   ",1
"55","g20","경기","232   ",2
"56","g20","경기","235   ",1
"57","g20","충북","171   ",1
"58","g20","전북","069   ",2
"59","g20","전북","232   ",1
"60","g20","전남","169   ",1
"61","g20","경북","153   ",1
"62","g20","경북","171   ",1
"63","g20","경남","030   ",1
"64","g20","경남","171   ",2
"65","g20","경남","176   ",1
