대륙별+국가별,성별,under_10,g10,g20,g30,g40,g50,g60,over_70,대륙
타지키스탄,남    ,0,2,0,4,6,2,0,0,아시아
타지키스탄,여    ,0,1,0,3,1,0,0,0,아시아
바레인,남    ,3,4,21,158,179,89,17,0,중동
바레인,여    ,7,5,17,22,17,8,0,0,중동
투르크메니스탄,남    ,1,0,1,4,4,4,0,0,아시아
투르크메니스탄,여    ,0,0,5,1,3,0,1,0,아시아
팔레스타인,남    ,0,0,1,0,1,1,0,0,중동
팔레스타인,여    ,0,0,2,1,0,0,1,0,중동
키프로스,남    ,0,7,31,18,17,7,5,0,유럽
키프로스,여    ,1,2,8,2,4,7,2,0,유럽
카타르,남    ,43,132,361,908,918,507,297,41,중동
카타르,여    ,35,93,663,316,448,539,269,32,중동
미국,남    ,17445,31090,52376,105228,85554,40356,23237,7756,북미
미국,여    ,16041,29009,62851,54333,43262,40721,26907,9838,북미
캐나다,남    ,4404,11167,11801,10493,14337,6266,3527,1291,북미
캐나다,여    ,3769,10568,14359,10352,11158,6997,4586,1576,북미
브라질,남    ,46,228,549,1202,761,260,111,16,중남미
브라질,여    ,44,61,272,199,153,141,80,17,중남미
멕시코,남    ,87,100,522,1256,1109,333,105,17,중남미
멕시코,여    ,69,108,482,306,208,167,54,11,중남미
칠레,남    ,8,15,59,160,110,46,15,2,중남미
칠레,여    ,9,25,36,40,33,18,15,1,중남미
아르헨티나,남    ,30,34,86,240,285,106,30,13,중남미
아르헨티나,여    ,16,31,98,74,89,62,40,12,중남미
콜롬비아,남    ,10,20,47,88,99,44,15,2,중남미
콜롬비아,여    ,9,14,47,27,30,11,8,1,중남미
페루,남    ,12,24,60,114,127,40,16,6,중남미
페루,여    ,16,27,67,46,31,29,6,7,중남미
베네수엘라,남    ,2,5,20,24,32,6,2,0,중남미
베네수엘라,여    ,1,0,3,4,6,0,2,0,중남미
에콰도르,남    ,2,5,13,17,16,10,2,0,중남미
에콰도르,여    ,1,3,8,8,10,2,4,1,중남미
엘살바도르,남    ,0,2,5,5,9,6,0,0,중남미
엘살바도르,여    ,0,1,1,1,4,0,0,0,중남미
코스타리카,남    ,9,2,11,36,20,10,5,1,중남미
코스타리카,여    ,4,5,12,9,9,2,3,0,중남미
파라과이,남    ,11,8,28,44,50,30,6,4,중남미
파라과이,여    ,2,12,45,26,21,19,10,1,중남미
과테말라,남    ,26,20,66,152,181,77,17,4,중남미
과테말라,여    ,25,24,69,63,67,28,11,4,중남미
파나마,남    ,3,2,15,35,30,7,3,1,중남미
파나마,여    ,2,3,11,8,4,0,3,0,중남미
쿠바,남    ,0,1,3,4,7,3,0,0,중남미
쿠바,여    ,0,1,3,1,2,0,1,0,중남미
볼리비아,남    ,5,13,4,10,24,13,3,0,중남미
볼리비아,여    ,0,5,3,5,12,4,0,0,중남미
도미니카공화국,남    ,3,0,7,16,16,9,5,0,중남미
도미니카공화국,여    ,4,4,4,6,10,4,1,0,중남미
온두라스,남    ,2,1,17,29,22,15,1,0,중남미
온두라스,여    ,1,0,5,5,3,5,0,0,중남미
자메이카,남    ,0,0,4,4,3,0,1,0,중남미
자메이카,여    ,3,0,2,2,1,0,2,0,중남미
우루과이,남    ,0,2,18,104,128,40,8,1,중남미
우루과이,여    ,2,1,6,3,9,4,2,2,중남미
트리니다드토바고,남    ,0,0,1,2,5,2,0,0,중남미
트리니다드토바고,여    ,0,0,1,0,0,0,0,0,중남미
벨리즈,남    ,2,7,0,2,1,1,0,1,중남미
벨리즈,여    ,3,1,1,1,1,0,0,0,중남미
니카라과,남    ,4,2,7,12,11,1,0,0,중남미
니카라과,여    ,1,1,4,5,5,1,0,0,중남미
수리남,남    ,0,0,0,0,0,1,1,0,중남미
수리남,여    ,0,0,0,0,1,1,0,0,중남미
바하마,남    ,0,0,2,2,1,0,0,0,중남미
바하마,여    ,0,0,1,1,0,0,0,0,중남미
도미니카연방,남    ,0,0,0,0,0,0,0,0,중남미
도미니카연방,여    ,0,0,0,1,0,1,0,0,중남미
바베이도스,남    ,0,0,0,0,0,0,0,0,중남미
아이티,남    ,0,0,0,0,0,1,1,1,중남미
그레나다,남    ,0,0,0,2,1,0,0,0,중남미
세인트루시아,남    ,0,1,0,2,0,0,2,0,중남미
세인트루시아,여    ,3,0,0,2,0,1,1,0,중남미
앤티가바부다,남    ,0,0,0,1,0,0,0,0,중남미
앤티가바부다,여    ,0,0,0,0,0,0,0,0,중남미
가이아나,남    ,0,0,1,1,0,0,0,0,중남미
가이아나,여    ,0,0,0,0,1,0,0,0,중남미
버뮤다,남    ,0,1,0,0,0,0,0,0,중남미
버뮤다,여    ,0,0,0,0,2,0,0,0,중남미
케이맨제도,남    ,0,1,0,2,3,1,0,0,중남미
케이맨제도,여    ,1,2,1,0,3,2,0,0,중남미
네덜란드령 앤틸리스,남    ,0,0,0,0,0,1,0,0,중남미
네덜란드령 앤틸리스,여    ,0,0,1,0,0,0,0,0,중남미
미국인근섬,남    ,0,0,0,0,1,0,0,0,중남미
미국인근섬,여    ,0,1,0,0,0,0,0,0,중남미
부베트,남    ,1,1,3,8,8,4,3,0,중남미
부베트,여    ,1,0,1,3,5,1,4,0,중남미
아루바,여    ,0,0,0,1,0,0,0,0,중남미
불령가이아나,남    ,0,0,2,2,3,3,1,0,중남미
불령가이아나,여    ,1,1,1,2,3,2,0,0,중남미
