"","age_cut","sido","q6_1","nn"
"123","g40","경기","092",1
"124","g40","경기","171",1
"125","g40","경기","176",1
"126","g40","경기","188",1
"127","g40","경기","207",1
"128","g40","경기","236",1
"129","g40","강원","070",1
"130","g40","강원","128",1
"131","g40","강원","154",1
"132","g40","강원","171",2
"133","g40","충북","176",1
"134","g40","충남","070",1
"135","g40","충남","128",1
"136","g40","충남","170",1
"137","g40","전남","176",1
"138","g40","전남","207",1
"139","g40","경북","176",1
"140","g40","경남","011",1
"141","g40","경남","208",1
"142","g50","서울","023",1
"143","g50","서울","031",1
"144","g50","서울","069",1
"145","g50","서울","121",1
"146","g50","서울","146",1
"147","g50","서울","171",1
"148","g50","서울","176",2
"149","g50","서울","207",1
"150","g50","서울","231",1
"151","g50","서울","232",1
"152","g50","부산","171",1
"153","g50","부산","236",1
"154","g50","대구","052",1
"155","g50","대구","070",1
"156","g50","대구","170",1
"157","g50","대구","171",1
"158","g50","대구","176",1
"159","g50","대구","236",1
"160","g50","인천","082",1
"161","g50","인천","130",1
"162","g50","인천","176",1
"163","g50","울산","022",1
"164","g50","울산","169",1
"165","g50","울산","176",1
"166","g50","경기","030",1
"167","g50","경기","034",1
"168","g50","경기","052",1
"169","g50","경기","070",2
"170","g50","경기","082",1
"171","g50","경기","124",1
"172","g50","경기","128",2
"173","g50","경기","149",1
"174","g50","경기","154",1
"175","g50","경기","168",1
"176","g50","경기","176",2
"177","g50","경기","182",1
"178","g50","경기","187",1
"179","g50","경기","227",1
"180","g50","경기","235",1
"181","g50","경기","236",1
"182","g50","강원","232",1
"183","g50","충남","176",2
"184","g50","충남","207",1
"185","g50","전북","176",1
"186","g50","전북","188",1
"187","g50","전북","207",1
"188","g50","전북","221",1
"189","g50","전남","171",1
"190","g50","전남","176",1
"191","g50","경북","082",1
"192","g50","경북","176",2
"193","g50","경북","188",1
"194","g50","경남","082",1
"195","g50","경남","229",1
"196","g60","서울","023",1
"197","g60","서울","031",1
"198","g60","서울","034",1
"199","g60","서울","039",1
"200","g60","서울","070",1
"201","g60","서울","082",2
"202","g60","서울","121",1
"203","g60","서울","146",1
"204","g60","서울","153",1
"205","g60","서울","154",1
"206","g60","서울","166",1
"207","g60","서울","170",1
"208","g60","서울","171",1
"209","g60","서울","176",2
"210","g60","서울","227",1
"211","g60","서울","231",1
"212","g60","서울","232",1
"213","g60","부산","170",1
"214","g60","부산","171",1
"215","g60","부산","207",1
"216","g60","부산","232",1
"217","g60","대구","166",1
"218","g60","대구","167",1
"219","g60","인천","176",1
"220","g60","광주","176",1
"221","g60","광주","207",1
"222","g60","경기","030",1
"223","g60","경기","055",1
"224","g60","경기","092",1
"225","g60","경기","153",1
"226","g60","경기","171",1
"227","g60","경기","176",1
"228","g60","경기","189",1
"229","g60","경기","232",1
"230","g60","강원","169",1
"231","g60","충북","176",1
"232","g60","충남","176",1
"233","g60","전북","128",1
"234","g60","전북","176",1
"235","g60","전북","207",1
"236","g60","전북","236",1
"237","g60","전남","176",1
"238","g60","경북","176",2
"239","g60","경북","232",1
"240","g60","경남","171",1
"241","g_over60","서울","188",1
"242","g_over60","부산","030",1
"243","g_over60","부산","171",1
"244","g_over60","대구","070",1
"245","g_over60","인천","171",1
"246","g_over60","인천","176",1
"247","g_over60","경기","070",2
"248","g_over60","경기","171",1
"249","g_over60","경기","232",1
"250","g_over60","강원","082",1
"251","g_over60","강원","188",1
"252","g_over60","충북","082",1
"253","g_over60","충남","070",1
"254","g_over60","전북","115",1
"255","g_over60","전북","153",1
"256","g_over60","전북","176",1
"257","g_over60","전북","207",1
"258","g_over60","전북","208",1
"259","g_over60","경북","171",1
"260","g_over60","제주","008",1
"261","g_over60","제주","030",1
"262","g_over60","제주","176",1
