"","age_cut","sido","q6_1","nn"
"1","g10","서울","070",1
"2","g10","부산","171",1
"3","g10","대구","176",1
"4","g10","울산","070",1
"5","g10","울산","176",1
"6","g10","경기","076",1
"7","g10","경기","149",1
"8","g10","경기","168",1
"9","g10","경기","207",1
"10","g10","경기","229",1
"11","g10","강원","176",1
"12","g10","전북","153",1
"13","g10","전북","176",1
"14","g10","전북","207",1
"15","g10","전남","171",1
"16","g10","경북","176",2
"17","g10","경남","232",1
"18","g20","서울","052",1
"19","g20","서울","070",1
"20","g20","서울","082",2
"21","g20","서울","092",1
"22","g20","서울","149",1
"23","g20","서울","170",1
"24","g20","서울","171",1
"25","g20","서울","176",1
"26","g20","서울","207",1
"27","g20","서울","229",1
"28","g20","서울","232",1
"29","g20","서울","236",1
"30","g20","부산","034",1
"31","g20","부산","123",1
"32","g20","부산","169",1
"33","g20","부산","207",1
"34","g20","부산","229",1
"35","g20","부산","236",1
"36","g20","대구","052",1
"37","g20","대구","153",1
"38","g20","대구","176",1
"39","g20","대구","208",1
"40","g20","대구","232",1
"41","g20","대구","236",1
"42","g20","인천","176",1
"43","g20","울산","176",1
"44","g20","경기","034",1
"45","g20","경기","070",1
"46","g20","경기","122",1
"47","g20","경기","168",1
"48","g20","경기","171",2
"49","g20","경기","176",1
"50","g20","경기","182",1
"51","g20","경기","207",1
"52","g20","경기","229",1
"53","g20","경기","232",2
"54","g20","경기","236",1
"55","g20","충남","176",1
"56","g20","충남","232",1
"57","g20","전북","171",1
"58","g20","전남","232",1
"59","g20","경북","176",1
"60","g20","경남","207",1
"61","g30","서울","008",1
"62","g30","서울","020",1
"63","g30","서울","060",1
"64","g30","서울","070",2
"65","g30","서울","167",1
"66","g30","서울","170",1
"67","g30","서울","171",2
"68","g30","서울","173",1
"69","g30","서울","176",2
"70","g30","서울","189",1
"71","g30","서울","190",1
"72","g30","서울","206",1
"73","g30","서울","208",1
"74","g30","서울","232",2
"75","g30","부산","070",1
"76","g30","부산","082",1
"77","g30","부산","128",1
"78","g30","부산","170",1
"79","g30","부산","171",2
"80","g30","부산","176",2
"81","g30","부산","207",1
"82","g30","대구","128",1
"83","g30","대구","236",1
"84","g30","인천","070",1
"85","g30","인천","176",1
"86","g30","인천","207",1
"87","g30","광주","070",1
"88","g30","경기","030",2
"89","g30","경기","070",1
"90","g30","경기","122",1
"91","g30","경기","168",1
"92","g30","경기","171",2
"93","g30","경기","176",2
"94","g30","경기","229",1
"95","g30","경기","232",1
"96","g30","경기","236",1
"97","g30","강원","176",1
"98","g30","충북","082",1
"99","g30","충북","171",1
"100","g30","충북","176",1
"101","g30","경북","176",1
"102","g30","경남","176",1
"103","g30","경남","229",1
"104","g30","제주","171",1
"105","g40","서울","034",1
"106","g40","서울","171",2
"107","g40","서울","176",1
"108","g40","부산","082",1
"109","g40","부산","176",1
"110","g40","부산","188",1
"111","g40","부산","207",1
"112","g40","대구","171",1
"113","g40","대구","188",1
"114","g40","인천","070",1
"115","g40","광주","207",1
"116","g40","대전","082",1
"117","g40","경기","011",1
"118","g40","경기","021",1
"119","g40","경기","034",1
"120","g40","경기","055",1
"121","g40","경기","070",1
"122","g40","경기","082",1
