"","age_cut","sido","q7_1_2","nn"
"1","g10","서울","931",1
"2","g10","서울","932",2
"3","g10","서울","934",2
"4","g10","서울","936",1
"5","g10","서울","938",1
"6","g10","서울","939",2
"7","g10","부산","935",1
"8","g10","부산","936",2
"9","g10","부산","937",1
"10","g10","부산","939",2
"11","g10","대구","911",1
"12","g10","대구","925",1
"13","g10","대구","931",1
"14","g10","대구","932",1
"15","g10","대구","933",1
"16","g10","대구","937",1
"17","g10","대구","939",1
"18","g10","광주","911",2
"19","g10","광주","936",1
"20","g10","광주","938",2
"21","g10","광주","939",2
"22","g10","대전","932",1
"23","g10","대전","933",1
"24","g10","대전","934",1
"25","g10","대전","937",1
"26","g10","대전","938",1
"27","g10","대전","939",2
"28","g10","울산","939",1
"29","g10","경기","923",1
"30","g10","경기","931",2
"31","g10","경기","932",1
"32","g10","경기","937",1
"33","g10","경기","939",2
"34","g10","강원","911",1
"35","g10","강원","932",1
"36","g10","강원","933",1
"37","g10","강원","939",1
"38","g10","충북","932",1
"39","g10","충북","933",1
"40","g10","충북","939",1
"41","g10","충남","911",1
"42","g10","충남","921",1
"43","g10","충남","938",1
"44","g10","전북","931",1
"45","g10","전북","932",1
"46","g10","전북","935",2
"47","g10","전북","939",2
"48","g10","전남","911",1
"49","g10","전남","923",1
"50","g10","전남","931",2
"51","g10","전남","932",1
"52","g10","전남","936",2
"53","g10","전남","937",1
"54","g10","전남","939",1
"55","g10","경북","939",1
"56","g10","경남","911",2
"57","g10","경남","931",2
"58","g10","경남","932",2
"59","g10","경남","934",2
"60","g10","경남","935",1
"61","g10","경남","937",2
"62","g10","경남","938",1
"63","g10","경남","939",2
"64","g20","서울","921",2
"65","g20","서울","923",2
"66","g20","서울","931",2
"67","g20","서울","932",2
"68","g20","서울","933",1
"69","g20","서울","934",1
"70","g20","서울","936",1
"71","g20","서울","937",2
"72","g20","서울","938",1
"73","g20","서울","939",2
"74","g20","부산","911",2
"75","g20","부산","925",1
"76","g20","부산","926",1
"77","g20","부산","931",2
"78","g20","부산","936",1
"79","g20","부산","937",2
"80","g20","부산","938",2
"81","g20","부산","939",1
"82","g20","대구","911",1
"83","g20","대구","921",2
"84","g20","대구","932",2
"85","g20","대구","933",2
"86","g20","대구","934",1
"87","g20","대구","937",2
"88","g20","대구","938",2
"89","g20","인천","931",2
"90","g20","인천","932",1
"91","g20","인천","937",1
"92","g20","광주","911",1
"93","g20","광주","934",1
"94","g20","광주","935",1
"95","g20","광주","936",1
"96","g20","광주","938",1
"97","g20","광주","939",1
"98","g20","대전","911",1
"99","g20","대전","932",1
"100","g20","대전","933",1
"101","g20","대전","934",2
"102","g20","대전","935",2
"103","g20","울산","921",1
"104","g20","울산","939",1
"105","g20","경기","921",2
"106","g20","경기","922",2
"107","g20","경기","923",1
"108","g20","경기","931",2
"109","g20","경기","932",2
"110","g20","경기","933",1
"111","g20","경기","934",2
"112","g20","경기","936",2
"113","g20","경기","937",2
"114","g20","경기","939",2
"115","g20","강원","911",1
"116","g20","강원","932",2
"117","g20","강원","937",1
"118","g20","충북","921",1
"119","g20","충북","931",1
"120","g20","충북","932",1
"121","g20","충북","934",1
"122","g20","충북","935",1
"123","g20","충남","911",1
"124","g20","충남","931",1
"125","g20","충남","932",1
"126","g20","충남","939",1
"127","g20","전북","911",2
"128","g20","전북","921",1
"129","g20","전북","931",1
"130","g20","전북","932",1
"131","g20","전북","935",1
"132","g20","전북","939",1
"133","g20","전남","921",1
"134","g20","전남","932",2
"135","g20","전남","936",1
"136","g20","전남","938",1
"137","g20","경북","911",1
"138","g20","경북","921",1
"139","g20","경북","932",1
"140","g20","경북","933",1
"141","g20","경북","934",1
"142","g20","경북","935",2
"143","g20","경북","936",1
"144","g20","경북","937",1
"145","g20","경남","911",1
"146","g20","경남","921",2
"147","g20","경남","932",1
"148","g20","경남","937",2
"149","g20","경남","938",2
"150","g20","경남","939",2
"151","g20","제주","939",1
"152","g30","서울","921",1
"153","g30","서울","923",1
"154","g30","서울","924",1
"155","g30","서울","926",1
"156","g30","서울","931",2
"157","g30","서울","932",2
"158","g30","서울","933",2
"159","g30","서울","934",2
"160","g30","서울","935",2
"161","g30","서울","936",2
"162","g30","서울","937",2
"163","g30","서울","938",2
"164","g30","서울","939",2
"165","g30","부산","911",1
"166","g30","부산","931",1
"167","g30","부산","932",1
"168","g30","부산","933",1
"169","g30","부산","934",1
"170","g30","부산","935",1
"171","g30","부산","936",1
"172","g30","부산","937",1
"173","g30","부산","938",2
"174","g30","부산","939",2
"175","g30","대구","921",1
"176","g30","대구","932",1
"177","g30","대구","936",1
"178","g30","대구","937",2
"179","g30","대구","938",2
"180","g30","인천","923",1
"181","g30","인천","931",1
"182","g30","인천","932",1
"183","g30","인천","936",1
"184","g30","인천","937",1
"185","g30","인천","939",1
"186","g30","광주","921",1
"187","g30","대전","911",1
"188","g30","대전","933",1
"189","g30","대전","934",1
"190","g30","대전","938",1
"191","g30","경기","921",2
"192","g30","경기","923",2
"193","g30","경기","926",1
"194","g30","경기","931",2
"195","g30","경기","932",2
"196","g30","경기","933",2
"197","g30","경기","934",2
"198","g30","경기","935",1
"199","g30","경기","936",1
"200","g30","경기","937",2
"201","g30","경기","939",2
"202","g30","강원","931",1
"203","g30","충북","921",1
"204","g30","충북","937",1
"205","g30","충남","932",2
"206","g30","충남","934",1
"207","g30","충남","936",1
"208","g30","전북","934",1
"209","g30","전남","923",1
"210","g30","경북","911",1
"211","g30","경북","921",1
"212","g30","경북","935",1
"213","g30","경북","937",1
"214","g30","경남","911",1
"215","g30","경남","921",1
"216","g30","경남","923",1
"217","g30","경남","931",2
"218","g30","경남","935",1
"219","g30","경남","936",1
"220","g30","경남","937",1
"221","g30","경남","938",2
"222","g40","서울","923",1
"223","g40","서울","924",1
"224","g40","서울","931",1
"225","g40","서울","932",2
"226","g40","서울","933",1
"227","g40","서울","935",1
"228","g40","서울","936",2
"229","g40","서울","937",2
"230","g40","서울","938",1
"231","g40","서울","939",1
"232","g40","부산","926",1
"233","g40","부산","932",1
"234","g40","부산","936",1
"235","g40","부산","938",2
"236","g40","부산","939",2
"237","g40","대구","926",1
"238","g40","대구","931",1
"239","g40","대구","932",1
"240","g40","대구","934",2
"241","g40","대구","936",2
"242","g40","대구","937",1
"243","g40","대구","938",2
"244","g40","대구","939",2
"245","g40","인천","922",1
"246","g40","인천","931",1
"247","g40","인천","932",1
"248","g40","인천","934",1
"249","g40","인천","935",1
"250","g40","인천","939",1
"251","g40","광주","911",1
"252","g40","광주","921",1
"253","g40","광주","922",1
"254","g40","광주","932",1
"255","g40","광주","936",2
"256","g40","광주","938",1
"257","g40","광주","939",1
"258","g40","대전","931",1
"259","g40","대전","934",1
"260","g40","대전","935",1
"261","g40","대전","936",1
"262","g40","대전","939",1
"263","g40","울산","921",1
"264","g40","울산","939",1
"265","g40","경기","921",1
"266","g40","경기","923",1
"267","g40","경기","931",2
"268","g40","경기","932",2
"269","g40","경기","934",1
"270","g40","경기","935",2
"271","g40","경기","936",1
"272","g40","경기","938",2
"273","g40","경기","939",2
"274","g40","강원","923",1
"275","g40","강원","931",1
"276","g40","강원","932",1
"277","g40","강원","934",1
"278","g40","강원","938",1
"279","g40","강원","939",1
"280","g40","충남","911",1
"281","g40","충남","932",2
"282","g40","충남","934",2
"283","g40","충남","938",1
"284","g40","충남","939",1
"285","g40","전북","911",2
"286","g40","전북","923",2
"287","g40","전북","931",1
"288","g40","전북","932",1
"289","g40","전북","934",1
"290","g40","전북","935",2
"291","g40","전북","936",2
"292","g40","전북","939",2
"293","g40","전남","921",1
"294","g40","전남","934",1
"295","g40","전남","936",1
"296","g40","전남","937",1
"297","g40","전남","938",1
"298","g40","전남","939",1
"299","g40","경북","921",1
"300","g40","경북","932",2
"301","g40","경북","935",1
"302","g40","경북","937",1
"303","g40","경북","939",1
"304","g40","경남","921",1
"305","g40","경남","923",1
"306","g40","경남","926",1
"307","g40","경남","933",2
"308","g40","경남","935",2
"309","g40","경남","936",2
"310","g40","경남","938",1
