"","age_cut","sido","q7_1_2","nn"
"311","g40","경남","939",2
"312","g40","제주","921",1
"313","g50","서울","922",1
"314","g50","서울","923",1
"315","g50","서울","924",1
"316","g50","서울","931",2
"317","g50","서울","932",2
"318","g50","서울","934",2
"319","g50","서울","935",2
"320","g50","서울","936",2
"321","g50","서울","937",2
"322","g50","서울","938",1
"323","g50","서울","939",2
"324","g50","부산","911",1
"325","g50","부산","932",1
"326","g50","부산","934",1
"327","g50","부산","936",1
"328","g50","부산","937",1
"329","g50","부산","938",1
"330","g50","부산","939",1
"331","g50","대구","911",1
"332","g50","대구","932",1
"333","g50","대구","933",1
"334","g50","대구","936",1
"335","g50","대구","937",1
"336","g50","대구","938",2
"337","g50","대구","939",1
"338","g50","인천","932",1
"339","g50","인천","934",1
"340","g50","인천","936",1
"341","g50","인천","938",1
"342","g50","광주","921",1
"343","g50","광주","932",1
"344","g50","광주","936",1
"345","g50","광주","937",1
"346","g50","광주","938",1
"347","g50","대전","932",2
"348","g50","대전","933",1
"349","g50","대전","934",1
"350","g50","대전","936",1
"351","g50","대전","937",1
"352","g50","대전","938",1
"353","g50","대전","939",2
"354","g50","울산","937",1
"355","g50","경기","921",1
"356","g50","경기","923",1
"357","g50","경기","932",2
"358","g50","경기","933",1
"359","g50","경기","934",1
"360","g50","경기","935",1
"361","g50","경기","936",1
"362","g50","경기","937",2
"363","g50","경기","938",1
"364","g50","경기","939",2
"365","g50","강원","911",1
"366","g50","강원","923",1
"367","g50","강원","931",2
"368","g50","강원","932",2
"369","g50","강원","934",1
"370","g50","강원","938",1
"371","g50","강원","939",2
"372","g50","충북","921",1
"373","g50","충북","923",1
"374","g50","충북","936",1
"375","g50","충북","937",1
"376","g50","충북","938",1
"377","g50","충북","939",1
"378","g50","충남","921",1
"379","g50","충남","931",1
"380","g50","충남","932",2
"381","g50","충남","933",1
"382","g50","충남","934",1
"383","g50","충남","935",1
"384","g50","충남","936",1
"385","g50","충남","938",1
"386","g50","충남","939",1
"387","g50","전북","936",1
"388","g50","전북","939",1
"389","g50","전남","921",1
"390","g50","전남","931",1
"391","g50","전남","933",1
"392","g50","전남","935",1
"393","g50","전남","937",1
"394","g50","전남","938",1
"395","g50","전남","939",1
"396","g50","경북","911",1
"397","g50","경북","921",2
"398","g50","경북","926",1
"399","g50","경북","931",1
"400","g50","경북","932",1
"401","g50","경북","933",1
"402","g50","경북","935",1
"403","g50","경북","936",1
"404","g50","경북","937",1
"405","g50","경북","938",1
"406","g50","경북","939",2
"407","g50","경남","931",1
"408","g50","경남","932",1
"409","g50","경남","936",1
"410","g50","경남","937",2
"411","g50","경남","938",2
"412","g50","경남","939",1
"413","g50","제주","937",1
"414","g50","제주","938",1
"415","g60","서울","921",1
"416","g60","서울","923",1
"417","g60","서울","931",2
"418","g60","서울","932",2
"419","g60","서울","933",2
"420","g60","서울","934",2
"421","g60","서울","935",2
"422","g60","서울","936",2
"423","g60","서울","937",2
"424","g60","서울","938",2
"425","g60","서울","939",2
"426","g60","부산","911",1
"427","g60","부산","923",1
"428","g60","부산","931",1
"429","g60","부산","932",1
"430","g60","부산","933",2
"431","g60","부산","934",1
"432","g60","부산","935",1
"433","g60","부산","936",1
"434","g60","부산","938",2
"435","g60","부산","939",1
"436","g60","대구","932",2
"437","g60","대구","933",1
"438","g60","대구","936",1
"439","g60","대구","937",1
"440","g60","대구","938",2
"441","g60","인천","923",1
"442","g60","인천","931",1
"443","g60","인천","934",2
"444","g60","인천","936",1
"445","g60","인천","938",1
"446","g60","인천","939",1
"447","g60","광주","911",1
"448","g60","광주","936",1
"449","g60","광주","938",1
"450","g60","대전","921",1
"451","g60","대전","923",1
"452","g60","대전","932",1
"453","g60","대전","934",1
"454","g60","대전","936",1
"455","g60","대전","938",1
"456","g60","대전","939",1
"457","g60","경기","931",1
"458","g60","경기","932",1
"459","g60","경기","933",1
"460","g60","경기","934",2
"461","g60","경기","935",2
"462","g60","경기","936",2
"463","g60","경기","937",1
"464","g60","경기","938",1
"465","g60","경기","939",2
"466","g60","강원","921",1
"467","g60","강원","923",2
"468","g60","강원","925",1
"469","g60","강원","931",1
"470","g60","강원","932",2
"471","g60","강원","934",1
"472","g60","강원","938",1
"473","g60","강원","939",1
"474","g60","충북","922",1
"475","g60","충북","932",1
"476","g60","충남","931",1
"477","g60","충남","932",1
"478","g60","충남","934",1
"479","g60","충남","935",1
"480","g60","충남","937",1
"481","g60","충남","938",1
"482","g60","충남","939",2
"483","g60","전북","911",1
"484","g60","전북","921",2
"485","g60","전북","923",1
"486","g60","전북","931",2
"487","g60","전북","932",1
"488","g60","전북","934",1
"489","g60","전북","935",2
"490","g60","전북","936",1
"491","g60","전북","937",1
"492","g60","전북","938",2
"493","g60","전북","939",1
"494","g60","전남","911",1
"495","g60","전남","921",1
"496","g60","전남","932",2
"497","g60","전남","936",1
"498","g60","전남","939",2
"499","g60","경북","911",2
"500","g60","경북","923",1
"501","g60","경북","931",1
"502","g60","경북","932",1
"503","g60","경북","933",1
"504","g60","경북","935",1
"505","g60","경북","936",1
"506","g60","경북","937",2
"507","g60","경북","939",2
"508","g60","경남","911",1
"509","g60","경남","923",1
"510","g60","경남","926",1
"511","g60","경남","932",2
"512","g60","경남","935",1
"513","g60","경남","936",2
"514","g60","경남","937",1
"515","g60","경남","938",2
"516","g60","경남","939",2
"517","g60","제주","911",2
"518","g60","제주","931",1
"519","g60","제주","934",1
"520","g60","제주","936",1
"521","g_over60","서울","924",1
"522","g_over60","서울","932",1
"523","g_over60","서울","933",1
"524","g_over60","서울","934",2
"525","g_over60","서울","936",2
"526","g_over60","서울","937",1
"527","g_over60","서울","938",1
"528","g_over60","서울","939",1
"529","g_over60","부산","911",2
"530","g_over60","부산","923",1
"531","g_over60","부산","938",1
"532","g_over60","부산","939",1
"533","g_over60","대구","932",1
"534","g_over60","대구","933",1
"535","g_over60","대구","937",1
"536","g_over60","대구","939",1
"537","g_over60","인천","932",1
"538","g_over60","인천","933",1
"539","g_over60","인천","937",2
"540","g_over60","광주","932",1
"541","g_over60","광주","937",1
"542","g_over60","대전","934",1
"543","g_over60","울산","911",1
"544","g_over60","울산","938",1
"545","g_over60","경기","921",1
"546","g_over60","경기","923",1
"547","g_over60","경기","931",2
"548","g_over60","경기","932",2
"549","g_over60","경기","934",2
"550","g_over60","경기","935",2
"551","g_over60","경기","936",1
"552","g_over60","경기","937",1
"553","g_over60","경기","938",1
"554","g_over60","경기","939",2
"555","g_over60","강원","932",1
"556","g_over60","강원","938",1
"557","g_over60","강원","939",1
"558","g_over60","충북","931",1
"559","g_over60","충북","932",1
"560","g_over60","충북","939",1
"561","g_over60","충남","932",1
"562","g_over60","충남","933",1
"563","g_over60","충남","936",2
"564","g_over60","충남","938",1
"565","g_over60","충남","939",1
"566","g_over60","전북","923",1
"567","g_over60","전북","933",1
"568","g_over60","전북","935",1
"569","g_over60","전북","936",1
"570","g_over60","전북","937",1
"571","g_over60","전남","921",1
"572","g_over60","전남","931",1
"573","g_over60","전남","932",2
"574","g_over60","전남","933",2
"575","g_over60","전남","934",1
"576","g_over60","전남","936",2
"577","g_over60","전남","937",2
"578","g_over60","전남","938",1
"579","g_over60","경북","923",1
"580","g_over60","경북","933",1
"581","g_over60","경북","935",1
"582","g_over60","경북","939",2
"583","g_over60","경남","931",1
"584","g_over60","경남","932",1
"585","g_over60","경남","935",1
"586","g_over60","경남","936",1
"587","g_over60","경남","938",2
