generation,sido,sex,country,value,region
g30,경기,여자,프랑스,1,유럽
g30,경기,여자,필리핀,1,아시아
g30,경기,여자,헝가리,1,유럽
g30,충북,여자,홍콩,1,아시아
g30,충남,남자,캄보디아,1,아시아
g30,충남,여자,그리스,1,유럽
g30,충남,여자,이탈리아,1,유럽
g30,충남,여자,체코,1,유럽
g30,충남,여자,크로아티아,1,유럽
g30,충남,여자,홍콩,1,아시아
g30,전북,여자,홍콩,1,아시아
g30,전남,여자,호주,1,대양주
g30,경북,남자,일본,1,아시아
g30,경북,여자,프랑스,1,유럽
g30,경남,남자,독일,1,유럽
g30,경남,남자,중국,1,아시아
g30,경남,여자,독일,1,유럽
g30,경남,여자,오스트리아,1,유럽
g30,경남,여자,일본,1,아시아
g30,경남,여자,체코,1,유럽
g30,경남,여자,헝가리,1,유럽
g30,제주,남자,미국,1,북미
g30,제주,남자,일본,1,아시아
g40,서울,남자,괌,1,대양주
g40,서울,남자,대만,1,아시아
g40,서울,남자,독일,1,유럽
g40,서울,남자,말레이시아,1,아시아
g40,서울,남자,베트남,1,아시아
g40,서울,남자,이탈리아,1,유럽
g40,서울,남자,일본,1,아시아
g40,서울,남자,중국,1,아시아
g40,서울,남자,태국,1,아시아
g40,서울,남자,홍콩,1,아시아
g40,서울,여자,괌,1,대양주
g40,서울,여자,대만,1,아시아
g40,서울,여자,미국,1,북미
g40,서울,여자,일본,1,아시아
g40,서울,여자,중국,1,아시아
g40,서울,여자,홍콩,1,아시아
g40,부산,남자,일본,1,아시아
g40,부산,남자,크로아티아,1,유럽
g40,부산,여자,베트남,1,아시아
g40,부산,여자,중국,1,아시아
g40,대구,여자,대만,1,아시아
g40,대구,여자,몽골,1,아시아
g40,대구,여자,태국,1,아시아
g40,대전,여자,미국,1,북미
g40,대전,여자,중국,1,아시아
g40,울산,여자,일본,1,아시아
g40,경기,남자,베트남,1,아시아
g40,경기,남자,스페인,1,유럽
g40,경기,남자,인도네시아,1,아시아
g40,경기,남자,일본,1,아시아
g40,경기,남자,중국,1,아시아
g40,경기,남자,태국,1,아시아
g40,경기,남자,터키,1,유럽
g40,경기,남자,필리핀,1,아시아
g40,경기,여자,네덜란드,1,유럽
g40,경기,여자,독일,1,유럽
g40,경기,여자,미국,1,북미
g40,경기,여자,베트남,1,아시아
g40,경기,여자,사이프러스,1,중동
g40,경기,여자,슬로베니아,1,유럽
g40,경기,여자,오스트리아,1,유럽
g40,경기,여자,이탈리아,1,유럽
g40,경기,여자,일본,1,아시아
g40,경기,여자,중국,1,아시아
g40,경기,여자,체코,1,유럽
g40,경기,여자,캐나다,1,북미
g40,경기,여자,크로아티아,1,유럽
g40,경기,여자,터키,1,유럽
g40,경기,여자,필리핀,1,아시아
g40,강원,남자,일본,1,아시아
g40,강원,여자,캄보디아,1,아시아
g40,충북,남자,미국,1,북미
g40,충북,여자,홍콩,1,아시아
g40,충남,남자,일본,1,아시아
g40,충남,남자,중국,1,아시아
g40,충남,여자,스위스,1,유럽
g40,충남,여자,영국,1,유럽
g40,충남,여자,이탈리아,1,유럽
g40,충남,여자,인도네시아,1,아시아
g40,충남,여자,프랑스,1,유럽
g40,전남,남자,중국,1,아시아
g40,경북,남자,일본,1,아시아
g40,경북,여자,중국,1,아시아
g40,경남,남자,일본,1,아시아
g40,경남,남자,중국,1,아시아
g40,경남,여자,일본,1,아시아
g50,서울,남자,말레이시아,1,아시아
g50,서울,남자,베트남,1,아시아
g50,서울,남자,알제리,1,중동
g50,서울,남자,일본,1,아시아
g50,서울,남자,중국,1,아시아
g50,서울,남자,홍콩,1,아시아
g50,서울,여자,대만,1,아시아
g50,서울,여자,독일,1,유럽
g50,서울,여자,라오스,1,아시아
g50,서울,여자,미국,1,북미
g50,서울,여자,싱가포르,1,아시아
g50,서울,여자,이탈리아,1,유럽
g50,서울,여자,일본,1,아시아
g50,서울,여자,태국,1,아시아
g50,부산,남자,베트남,1,아시아
