"","age_cut","sido","q6_1","nn"
"1","g10","서울",NA,2
"2","g10","부산",NA,1
"3","g10","광주",NA,1
"4","g10","대전",NA,1
"5","g10","울산",NA,1
"6","g10","경기",NA,1
"7","g10","충남",NA,1
"8","g10","전남",NA,1
"9","g10","경북",NA,1
"10","g20","서울","171",1
"11","g20","서울",NA,2
"12","g20","부산",NA,2
"13","g20","대구",NA,2
"14","g20","울산",NA,1
"15","g20","경기",NA,2
"16","g20","충남",NA,1
"17","g20","전북",NA,1
"18","g20","경남",NA,2
"19","g30","서울",NA,2
"20","g30","부산",NA,2
"21","g30","대구","128",1
"22","g30","대구",NA,2
"23","g30","인천",NA,1
"24","g30","광주",NA,1
"25","g30","경기","176",1
"26","g30","경기",NA,2
"27","g30","강원",NA,1
"28","g30","충북",NA,1
"29","g30","충남",NA,1
"30","g30","전북",NA,2
"31","g30","전남",NA,2
"32","g30","경북",NA,1
"33","g30","경남",NA,1
"34","g40","서울",NA,2
"35","g40","부산","069",1
"36","g40","부산",NA,2
"37","g40","대구",NA,2
"38","g40","인천",NA,1
"39","g40","광주",NA,2
"40","g40","대전",NA,1
"41","g40","울산",NA,1
"42","g40","경기",NA,2
"43","g40","충북",NA,2
"44","g40","충남","176",1
"45","g40","충남",NA,2
"46","g40","전북",NA,2
"47","g40","전남","082",1
"48","g40","전남",NA,2
"49","g40","경북",NA,1
"50","g40","경남",NA,1
"51","g40","제주",NA,1
"52","g50","서울",NA,2
"53","g50","부산",NA,2
"54","g50","대구",NA,2
"55","g50","인천",NA,2
"56","g50","광주",NA,1
"57","g50","울산",NA,2
"58","g50","경기","176",1
"59","g50","경기",NA,2
"60","g50","강원",NA,2
"61","g50","충북",NA,2
"62","g50","충남",NA,2
"63","g50","전북",NA,2
"64","g50","전남",NA,2
"65","g50","경북",NA,2
"66","g50","경남",NA,2
"67","g50","제주",NA,2
"68","g60","서울",NA,2
"69","g60","부산",NA,2
"70","g60","대구",NA,2
"71","g60","광주",NA,1
"72","g60","대전",NA,2
"73","g60","경기",NA,2
"74","g60","충북",NA,1
"75","g60","충남",NA,2
"76","g60","전북",NA,2
"77","g60","전남",NA,2
"78","g60","경남",NA,2
"79","g_over60","서울",NA,2
"80","g_over60","부산",NA,1
"81","g_over60","인천",NA,2
"82","g_over60","광주",NA,1
"83","g_over60","경기",NA,2
"84","g_over60","강원",NA,1
"85","g_over60","충남",NA,1
"86","g_over60","전북",NA,1
"87","g_over60","전남",NA,2
