"","age_cut","sido","q6_1","nn"
"188","g40","인천","171                                           ",1
"189","g40","광주","082                                           ",1
"190","g40","광주","176                                           ",1
"191","g40","광주","208                                           ",1
"192","g40","대전","030                                           ",1
"193","g40","대전","170                                           ",1
"194","g40","대전","207                                           ",1
"195","g40","대전","232                                           ",1
"196","g40","울산","232                                           ",1
"197","g40","경기","021                                           ",1
"198","g40","경기","031                                           ",1
"199","g40","경기","070                                           ",1
"200","g40","경기","082                                           ",2
"201","g40","경기","083                                           ",1
"202","g40","경기","095                                           ",1
"203","g40","경기","121                                           ",1
"204","g40","경기","133                                           ",1
"205","g40","경기","149                                           ",1
"206","g40","경기","164                                           ",1
"207","g40","경기","168                                           ",1
"208","g40","경기","171                                           ",2
"209","g40","경기","176                                           ",2
"210","g40","경기","207                                           ",1
"211","g40","경기","218                                           ",1
"212","g40","경기","219                                           ",1
"213","g40","경기","229                                           ",1
"214","g40","경기","232                                           ",1
"215","g40","강원","232                                           ",1
"216","g40","충남","070                                           ",1
"217","g40","충남","082                                           ",1
"218","g40","충남","171                                           ",1
"219","g40","충남","176                                           ",1
"220","g40","전북","030                                           ",1
"221","g40","전남","232                                           ",1
"222","g40","경북","171                                           ",1
"223","g40","경북","236                                           ",1
"224","g40","경남","171                                           ",1
"225","g40","경남","176                                           ",1
"226","g40","경남","232                                           ",1
"227","g50","서울","123                                           ",1
"228","g50","서울","171                                           ",2
"229","g50","서울","176                                           ",2
"230","g50","서울","208                                           ",1
"231","g50","서울","236                                           ",1
"232","g50","부산","026                                           ",1
"233","g50","부산","034                                           ",2
"234","g50","부산","070                                           ",1
"235","g50","부산","082                                           ",1
"236","g50","부산","154                                           ",1
"237","g50","부산","171                                           ",1
"238","g50","부산","176                                           ",1
"239","g50","부산","182                                           ",1
"240","g50","부산","207                                           ",1
"241","g50","부산","208                                           ",1
"242","g50","부산","235                                           ",1
"243","g50","대구","207                                           ",1
"244","g50","대구","232                                           ",1
"245","g50","인천","082                                           ",1
"246","g50","인천","171                                           ",1
"247","g50","광주","154                                           ",1
"248","g50","광주","182                                           ",1
"249","g50","광주","235                                           ",1
"250","g50","대전","070                                           ",1
"251","g50","대전","128                                           ",1
"252","g50","대전","176                                           ",1
"253","g50","대전","208                                           ",1
"254","g50","대전","217                                           ",1
"255","g50","울산","055                                           ",1
"256","g50","울산","171                                           ",1
"257","g50","울산","176                                           ",1
"258","g50","울산","199                                           ",1
"259","g50","울산","207                                           ",1
"260","g50","울산","208                                           ",1
