"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1991","Sweden","Total","Thousand persons","Total","143",""
"1991","Sweden","Total","Percentage of total population","Total",":",""
"1991","Sweden","Total","Percentage of active population","Total","3.1",""
"1991","United Kingdom","Total","Thousand persons","Total","2,445",""
"1991","United Kingdom","Total","Percentage of total population","Total",":",""
"1991","United Kingdom","Total","Percentage of active population","Total","8.6",""
"1991","Iceland","Total","Thousand persons","Total",":",""
"1991","Iceland","Total","Percentage of total population","Total",":",""
"1991","Iceland","Total","Percentage of active population","Total",":",""
"1991","Norway","Total","Thousand persons","Total","116",""
"1991","Norway","Total","Percentage of total population","Total",":",""
"1991","Norway","Total","Percentage of active population","Total","5.5",""
"1991","Turkey","Total","Thousand persons","Total",":",""
"1991","Turkey","Total","Percentage of total population","Total",":",""
"1991","Turkey","Total","Percentage of active population","Total",":",""
"1991","United States","Total","Thousand persons","Total","8,628",""
"1991","United States","Total","Percentage of total population","Total",":",""
"1991","United States","Total","Percentage of active population","Total","6.8",""
"1991","Japan","Total","Thousand persons","Total","1,363",""
"1991","Japan","Total","Percentage of total population","Total",":",""
"1991","Japan","Total","Percentage of active population","Total","2.1",""
"1992","European Union (28 countries)","Total","Thousand persons","Total",":",""
"1992","European Union (28 countries)","Total","Percentage of total population","Total",":",""
"1992","European Union (28 countries)","Total","Percentage of active population","Total",":",""
"1992","European Union (27 countries)","Total","Thousand persons","Total",":",""
"1992","European Union (27 countries)","Total","Percentage of total population","Total",":",""
"1992","European Union (27 countries)","Total","Percentage of active population","Total",":",""
"1992","European Union (25 countries)","Total","Thousand persons","Total",":",""
"1992","European Union (25 countries)","Total","Percentage of total population","Total",":",""
"1992","European Union (25 countries)","Total","Percentage of active population","Total",":",""
"1992","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total",":",""
"1992","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"1992","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total",":",""
"1992","Euro area (19 countries)","Total","Thousand persons","Total",":",""
"1992","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"1992","Euro area (19 countries)","Total","Percentage of active population","Total",":",""
"1992","Euro area (18 countries)","Total","Thousand persons","Total",":",""
"1992","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"1992","Euro area (18 countries)","Total","Percentage of active population","Total",":",""
"1992","Belgium","Total","Thousand persons","Total","287",""
"1992","Belgium","Total","Percentage of total population","Total",":",""
"1992","Belgium","Total","Percentage of active population","Total","7.1",""
"1992","Bulgaria","Total","Thousand persons","Total",":",""
"1992","Bulgaria","Total","Percentage of total population","Total",":",""
"1992","Bulgaria","Total","Percentage of active population","Total",":",""
"1992","Czech Republic","Total","Thousand persons","Total",":",""
"1992","Czech Republic","Total","Percentage of total population","Total",":",""
"1992","Czech Republic","Total","Percentage of active population","Total",":",""
"1992","Denmark","Total","Thousand persons","Total","246",""
"1992","Denmark","Total","Percentage of total population","Total",":",""
"1992","Denmark","Total","Percentage of active population","Total","8.6",""
"1992","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","2,573",""
"1992","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"1992","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","6.6",""
"1992","Estonia","Total","Thousand persons","Total",":",""
"1992","Estonia","Total","Percentage of total population","Total",":",""
"1992","Estonia","Total","Percentage of active population","Total",":",""
"1992","Ireland","Total","Thousand persons","Total","209",""
"1992","Ireland","Total","Percentage of total population","Total",":",""
"1992","Ireland","Total","Percentage of active population","Total","15.4",""
"1992","Greece","Total","Thousand persons","Total",":",""
"1992","Greece","Total","Percentage of total population","Total",":",""
"1992","Greece","Total","Percentage of active population","Total",":",""
"1992","Spain","Total","Thousand persons","Total","2,602",""
"1992","Spain","Total","Percentage of total population","Total",":",""
"1992","Spain","Total","Percentage of active population","Total","17.0",""
"1992","France","Total","Thousand persons","Total","2,314",""
"1992","France","Total","Percentage of total population","Total",":",""
"1992","France","Total","Percentage of active population","Total","9.0",""
"1992","Croatia","Total","Thousand persons","Total",":",""
"1992","Croatia","Total","Percentage of total population","Total",":",""
"1992","Croatia","Total","Percentage of active population","Total",":",""
"1992","Italy","Total","Thousand persons","Total","2,056",""
"1992","Italy","Total","Percentage of total population","Total",":",""
"1992","Italy","Total","Percentage of active population","Total","8.8",""
"1992","Cyprus","Total","Thousand persons","Total",":",""
"1992","Cyprus","Total","Percentage of total population","Total",":",""
"1992","Cyprus","Total","Percentage of active population","Total",":",""
"1992","Latvia","Total","Thousand persons","Total",":",""
"1992","Latvia","Total","Percentage of total population","Total",":",""
"1992","Latvia","Total","Percentage of active population","Total",":",""
"1992","Lithuania","Total","Thousand persons","Total",":",""
"1992","Lithuania","Total","Percentage of total population","Total",":",""
"1992","Lithuania","Total","Percentage of active population","Total",":",""
"1992","Luxembourg","Total","Thousand persons","Total","3",""
"1992","Luxembourg","Total","Percentage of total population","Total",":",""
"1992","Luxembourg","Total","Percentage of active population","Total","2.1",""
"1992","Hungary","Total","Thousand persons","Total",":",""
"1992","Hungary","Total","Percentage of total population","Total",":",""
"1992","Hungary","Total","Percentage of active population","Total",":",""
"1992","Malta","Total","Thousand persons","Total",":",""
"1992","Malta","Total","Percentage of total population","Total",":",""
"1992","Malta","Total","Percentage of active population","Total",":",""
"1992","Netherlands","Total","Thousand persons","Total","400",""
"1992","Netherlands","Total","Percentage of total population","Total",":",""
"1992","Netherlands","Total","Percentage of active population","Total","5.7",""
"1992","Austria","Total","Thousand persons","Total",":",""
"1992","Austria","Total","Percentage of total population","Total",":",""
"1992","Austria","Total","Percentage of active population","Total",":",""
"1992","Poland","Total","Thousand persons","Total",":",""
"1992","Poland","Total","Percentage of total population","Total",":",""
"1992","Poland","Total","Percentage of active population","Total",":",""
"1992","Portugal","Total","Thousand persons","Total","244",""
"1992","Portugal","Total","Percentage of total population","Total",":",""
"1992","Portugal","Total","Percentage of active population","Total","5.0",""
"1992","Romania","Total","Thousand persons","Total",":",""
"1992","Romania","Total","Percentage of total population","Total",":",""
"1992","Romania","Total","Percentage of active population","Total",":",""
"1992","Slovenia","Total","Thousand persons","Total",":",""
"1992","Slovenia","Total","Percentage of total population","Total",":",""
"1992","Slovenia","Total","Percentage of active population","Total",":",""
"1992","Slovakia","Total","Thousand persons","Total",":",""
"1992","Slovakia","Total","Percentage of total population","Total",":",""
"1992","Slovakia","Total","Percentage of active population","Total",":",""
"1992","Finland","Total","Thousand persons","Total","292",""
"1992","Finland","Total","Percentage of total population","Total",":",""
"1992","Finland","Total","Percentage of active population","Total","11.7",""
"1992","Sweden","Total","Thousand persons","Total","252",""
"1992","Sweden","Total","Percentage of total population","Total",":",""
"1992","Sweden","Total","Percentage of active population","Total","5.6",""
"1992","United Kingdom","Total","Thousand persons","Total","2,710",""
"1992","United Kingdom","Total","Percentage of total population","Total",":",""
"1992","United Kingdom","Total","Percentage of active population","Total","9.8",""
"1992","Iceland","Total","Thousand persons","Total",":",""
"1992","Iceland","Total","Percentage of total population","Total",":",""
"1992","Iceland","Total","Percentage of active population","Total",":",""
"1992","Norway","Total","Thousand persons","Total","126",""
"1992","Norway","Total","Percentage of total population","Total",":",""
"1992","Norway","Total","Percentage of active population","Total","5.9",""
"1992","Turkey","Total","Thousand persons","Total",":",""
"1992","Turkey","Total","Percentage of total population","Total",":",""
"1992","Turkey","Total","Percentage of active population","Total",":",""
"1992","United States","Total","Thousand persons","Total","9,613",""
"1992","United States","Total","Percentage of total population","Total",":",""
"1992","United States","Total","Percentage of active population","Total","7.5",""
"1992","Japan","Total","Thousand persons","Total","1,423",""
"1992","Japan","Total","Percentage of total population","Total",":",""
"1992","Japan","Total","Percentage of active population","Total","2.2",""
"1993","European Union (28 countries)","Total","Thousand persons","Total",":",""
"1993","European Union (28 countries)","Total","Percentage of total population","Total",":",""
"1993","European Union (28 countries)","Total","Percentage of active population","Total",":",""
"1993","European Union (27 countries)","Total","Thousand persons","Total",":",""
"1993","European Union (27 countries)","Total","Percentage of total population","Total",":",""
"1993","European Union (27 countries)","Total","Percentage of active population","Total",":",""
"1993","European Union (25 countries)","Total","Thousand persons","Total",":",""
"1993","European Union (25 countries)","Total","Percentage of total population","Total",":",""
"1993","European Union (25 countries)","Total","Percentage of active population","Total",":",""
"1993","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","13,074",""
"1993","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"1993","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","10.2",""
"1993","Euro area (19 countries)","Total","Thousand persons","Total",":",""
"1993","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"1993","Euro area (19 countries)","Total","Percentage of active population","Total",":",""
"1993","Euro area (18 countries)","Total","Thousand persons","Total",":",""
"1993","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"1993","Euro area (18 countries)","Total","Percentage of active population","Total",":",""
"1993","Belgium","Total","Thousand persons","Total","354",""
"1993","Belgium","Total","Percentage of total population","Total",":",""
"1993","Belgium","Total","Percentage of active population","Total","8.6",""
"1993","Bulgaria","Total","Thousand persons","Total",":",""
"1993","Bulgaria","Total","Percentage of total population","Total",":",""
"1993","Bulgaria","Total","Percentage of active population","Total",":",""
"1993","Czech Republic","Total","Thousand persons","Total","220",""
"1993","Czech Republic","Total","Percentage of total population","Total",":",""
"1993","Czech Republic","Total","Percentage of active population","Total","4.3",""
"1993","Denmark","Total","Thousand persons","Total","271",""
"1993","Denmark","Total","Percentage of total population","Total",":",""
"1993","Denmark","Total","Percentage of active population","Total","9.6",""
"1993","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,050",""
"1993","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"1993","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.8",""
"1993","Estonia","Total","Thousand persons","Total",":",""
"1993","Estonia","Total","Percentage of total population","Total",":",""
"1993","Estonia","Total","Percentage of active population","Total",":",""
"1993","Ireland","Total","Thousand persons","Total","216",""
"1993","Ireland","Total","Percentage of total population","Total",":",""
"1993","Ireland","Total","Percentage of active population","Total","15.6",""
"1993","Greece","Total","Thousand persons","Total",":",""
"1993","Greece","Total","Percentage of total population","Total",":",""
"1993","Greece","Total","Percentage of active population","Total",":",""
"1993","Spain","Total","Thousand persons","Total","3,230",""
"1993","Spain","Total","Percentage of total population","Total",":",""
"1993","Spain","Total","Percentage of active population","Total","20.8",""
"1993","France","Total","Thousand persons","Total","2,591",""
"1993","France","Total","Percentage of total population","Total",":",""
"1993","France","Total","Percentage of active population","Total","10.1",""
"1993","Croatia","Total","Thousand persons","Total",":",""
"1993","Croatia","Total","Percentage of total population","Total",":",""
"1993","Croatia","Total","Percentage of active population","Total",":",""
"1993","Italy","Total","Thousand persons","Total","2,296",""
"1993","Italy","Total","Percentage of total population","Total",":",""
"1993","Italy","Total","Percentage of active population","Total","9.7",""
"1993","Cyprus","Total","Thousand persons","Total",":",""
"1993","Cyprus","Total","Percentage of total population","Total",":",""
"1993","Cyprus","Total","Percentage of active population","Total",":",""
"1993","Latvia","Total","Thousand persons","Total",":",""
"1993","Latvia","Total","Percentage of total population","Total",":",""
"1993","Latvia","Total","Percentage of active population","Total",":",""
"1993","Lithuania","Total","Thousand persons","Total",":",""
"1993","Lithuania","Total","Percentage of total population","Total",":",""
"1993","Lithuania","Total","Percentage of active population","Total",":",""
"1993","Luxembourg","Total","Thousand persons","Total","4",""
"1993","Luxembourg","Total","Percentage of total population","Total",":",""
"1993","Luxembourg","Total","Percentage of active population","Total","2.6",""
"1993","Hungary","Total","Thousand persons","Total",":",""
"1993","Hungary","Total","Percentage of total population","Total",":",""
"1993","Hungary","Total","Percentage of active population","Total",":",""
"1993","Malta","Total","Thousand persons","Total",":",""
"1993","Malta","Total","Percentage of total population","Total",":",""
"1993","Malta","Total","Percentage of active population","Total",":",""
"1993","Netherlands","Total","Thousand persons","Total","458",""
"1993","Netherlands","Total","Percentage of total population","Total",":",""
"1993","Netherlands","Total","Percentage of active population","Total","6.5",""
"1993","Austria","Total","Thousand persons","Total",":",""
"1993","Austria","Total","Percentage of total population","Total",":",""
"1993","Austria","Total","Percentage of active population","Total",":",""
"1993","Poland","Total","Thousand persons","Total",":",""
"1993","Poland","Total","Percentage of total population","Total",":",""
"1993","Poland","Total","Percentage of active population","Total",":",""
"1993","Portugal","Total","Thousand persons","Total","307",""
"1993","Portugal","Total","Percentage of total population","Total",":",""
"1993","Portugal","Total","Percentage of active population","Total","6.3",""
"1993","Romania","Total","Thousand persons","Total",":",""
"1993","Romania","Total","Percentage of total population","Total",":",""
"1993","Romania","Total","Percentage of active population","Total",":",""
"1993","Slovenia","Total","Thousand persons","Total",":",""
"1993","Slovenia","Total","Percentage of total population","Total",":",""
"1993","Slovenia","Total","Percentage of active population","Total",":",""
"1993","Slovakia","Total","Thousand persons","Total",":",""
"1993","Slovakia","Total","Percentage of total population","Total",":",""
"1993","Slovakia","Total","Percentage of active population","Total",":",""
"1993","Finland","Total","Thousand persons","Total","405",""
"1993","Finland","Total","Percentage of total population","Total",":",""
"1993","Finland","Total","Percentage of active population","Total","16.3",""
"1993","Sweden","Total","Thousand persons","Total","401",""
"1993","Sweden","Total","Percentage of total population","Total",":",""
"1993","Sweden","Total","Percentage of active population","Total","9.1",""
"1993","United Kingdom","Total","Thousand persons","Total","2,857",""
"1993","United Kingdom","Total","Percentage of total population","Total",":",""
"1993","United Kingdom","Total","Percentage of active population","Total","10.2",""
"1993","Iceland","Total","Thousand persons","Total",":",""
"1993","Iceland","Total","Percentage of total population","Total",":",""
"1993","Iceland","Total","Percentage of active population","Total",":",""
"1993","Norway","Total","Thousand persons","Total","127",""
"1993","Norway","Total","Percentage of total population","Total",":",""
"1993","Norway","Total","Percentage of active population","Total","6.0",""
"1993","Turkey","Total","Thousand persons","Total",":",""
"1993","Turkey","Total","Percentage of total population","Total",":",""
"1993","Turkey","Total","Percentage of active population","Total",":",""
"1993","United States","Total","Thousand persons","Total","8,940",""
"1993","United States","Total","Percentage of total population","Total",":",""
"1993","United States","Total","Percentage of active population","Total","6.9",""
"1993","Japan","Total","Thousand persons","Total","1,657",""
"1993","Japan","Total","Percentage of total population","Total",":",""
"1993","Japan","Total","Percentage of active population","Total","2.5",""
"1994","European Union (28 countries)","Total","Thousand persons","Total",":",""
"1994","European Union (28 countries)","Total","Percentage of total population","Total",":",""
"1994","European Union (28 countries)","Total","Percentage of active population","Total",":",""
"1994","European Union (27 countries)","Total","Thousand persons","Total",":",""
"1994","European Union (27 countries)","Total","Percentage of total population","Total",":",""
"1994","European Union (27 countries)","Total","Percentage of active population","Total",":",""
"1994","European Union (25 countries)","Total","Thousand persons","Total",":",""
"1994","European Union (25 countries)","Total","Percentage of total population","Total",":",""
"1994","European Union (25 countries)","Total","Percentage of active population","Total",":",""
"1994","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","14,021",""
"1994","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"1994","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","10.9",""
"1994","Euro area (19 countries)","Total","Thousand persons","Total",":",""
"1994","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"1994","Euro area (19 countries)","Total","Percentage of active population","Total",":",""
"1994","Euro area (18 countries)","Total","Thousand persons","Total",":",""
"1994","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"1994","Euro area (18 countries)","Total","Percentage of active population","Total",":",""
"1994","Belgium","Total","Thousand persons","Total","406",""
"1994","Belgium","Total","Percentage of total population","Total",":",""
"1994","Belgium","Total","Percentage of active population","Total","9.8",""
"1994","Bulgaria","Total","Thousand persons","Total",":",""
"1994","Bulgaria","Total","Percentage of total population","Total",":",""
"1994","Bulgaria","Total","Percentage of active population","Total",":",""
"1994","Czech Republic","Total","Thousand persons","Total","221",""
"1994","Czech Republic","Total","Percentage of total population","Total",":",""
"1994","Czech Republic","Total","Percentage of active population","Total","4.3",""
"1994","Denmark","Total","Thousand persons","Total","213",""
"1994","Denmark","Total","Percentage of total population","Total",":",""
"1994","Denmark","Total","Percentage of active population","Total","7.7",""
"1994","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,306",""
"1994","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"1994","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","8.4",""
"1994","Estonia","Total","Thousand persons","Total",":",""
"1994","Estonia","Total","Percentage of total population","Total",":",""
"1994","Estonia","Total","Percentage of active population","Total",":",""
"1994","Ireland","Total","Thousand persons","Total","203",""
"1994","Ireland","Total","Percentage of total population","Total",":",""
"1994","Ireland","Total","Percentage of active population","Total","14.3",""
"1994","Greece","Total","Thousand persons","Total",":",""
"1994","Greece","Total","Percentage of total population","Total",":",""
"1994","Greece","Total","Percentage of active population","Total",":",""
"1994","Spain","Total","Thousand persons","Total","3,455",""
"1994","Spain","Total","Percentage of total population","Total",":",""
"1994","Spain","Total","Percentage of active population","Total","22.0",""
"1994","France","Total","Thousand persons","Total","2,696",""
"1994","France","Total","Percentage of total population","Total",":",""
"1994","France","Total","Percentage of active population","Total","10.4",""
"1994","Croatia","Total","Thousand persons","Total",":",""
"1994","Croatia","Total","Percentage of total population","Total",":",""
"1994","Croatia","Total","Percentage of active population","Total",":",""
"1994","Italy","Total","Thousand persons","Total","2,493",""
"1994","Italy","Total","Percentage of total population","Total",":",""
"1994","Italy","Total","Percentage of active population","Total","10.6",""
"1994","Cyprus","Total","Thousand persons","Total",":",""
"1994","Cyprus","Total","Percentage of total population","Total",":",""
"1994","Cyprus","Total","Percentage of active population","Total",":",""
"1994","Latvia","Total","Thousand persons","Total",":",""
"1994","Latvia","Total","Percentage of total population","Total",":",""
"1994","Latvia","Total","Percentage of active population","Total",":",""
"1994","Lithuania","Total","Thousand persons","Total",":",""
"1994","Lithuania","Total","Percentage of total population","Total",":",""
"1994","Lithuania","Total","Percentage of active population","Total",":",""
"1994","Luxembourg","Total","Thousand persons","Total","5",""
"1994","Luxembourg","Total","Percentage of total population","Total",":",""
"1994","Luxembourg","Total","Percentage of active population","Total","3.2",""
"1994","Hungary","Total","Thousand persons","Total",":",""
"1994","Hungary","Total","Percentage of total population","Total",":",""
"1994","Hungary","Total","Percentage of active population","Total",":",""
"1994","Malta","Total","Thousand persons","Total",":",""
"1994","Malta","Total","Percentage of total population","Total",":",""
"1994","Malta","Total","Percentage of active population","Total",":",""
"1994","Netherlands","Total","Thousand persons","Total","517",""
"1994","Netherlands","Total","Percentage of total population","Total",":",""
"1994","Netherlands","Total","Percentage of active population","Total","7.2",""
"1994","Austria","Total","Thousand persons","Total","159",""
"1994","Austria","Total","Percentage of total population","Total",":",""
"1994","Austria","Total","Percentage of active population","Total","4.3",""
"1994","Poland","Total","Thousand persons","Total",":",""
"1994","Poland","Total","Percentage of total population","Total",":",""
"1994","Poland","Total","Percentage of active population","Total",":",""
"1994","Portugal","Total","Thousand persons","Total","373",""
"1994","Portugal","Total","Percentage of total population","Total",":",""
"1994","Portugal","Total","Percentage of active population","Total","7.6",""
"1994","Romania","Total","Thousand persons","Total",":",""
"1994","Romania","Total","Percentage of total population","Total",":",""
"1994","Romania","Total","Percentage of active population","Total",":",""
"1994","Slovenia","Total","Thousand persons","Total",":",""
"1994","Slovenia","Total","Percentage of total population","Total",":",""
"1994","Slovenia","Total","Percentage of active population","Total",":",""
"1994","Slovakia","Total","Thousand persons","Total",":",""
"1994","Slovakia","Total","Percentage of total population","Total",":",""
"1994","Slovakia","Total","Percentage of active population","Total",":",""
"1994","Finland","Total","Thousand persons","Total","408",""
"1994","Finland","Total","Percentage of total population","Total",":",""
"1994","Finland","Total","Percentage of active population","Total","16.6",""
"1994","Sweden","Total","Thousand persons","Total","412",""
"1994","Sweden","Total","Percentage of total population","Total",":",""
"1994","Sweden","Total","Percentage of active population","Total","9.4",""
"1994","United Kingdom","Total","Thousand persons","Total","2,611",""
"1994","United Kingdom","Total","Percentage of total population","Total",":",""
"1994","United Kingdom","Total","Percentage of active population","Total","9.3",""
"1994","Iceland","Total","Thousand persons","Total",":",""
"1994","Iceland","Total","Percentage of total population","Total",":",""
"1994","Iceland","Total","Percentage of active population","Total",":",""
"1994","Norway","Total","Thousand persons","Total","116",""
"1994","Norway","Total","Percentage of total population","Total",":",""
"1994","Norway","Total","Percentage of active population","Total","5.4",""
"1994","Turkey","Total","Thousand persons","Total",":",""
"1994","Turkey","Total","Percentage of total population","Total",":",""
"1994","Turkey","Total","Percentage of active population","Total",":",""
"1994","United States","Total","Thousand persons","Total","7,997",""
"1994","United States","Total","Percentage of total population","Total",":",""
"1994","United States","Total","Percentage of active population","Total","6.1",""
"1994","Japan","Total","Thousand persons","Total","1,921",""
"1994","Japan","Total","Percentage of total population","Total",":",""
"1994","Japan","Total","Percentage of active population","Total","2.9",""
"1995","European Union (28 countries)","Total","Thousand persons","Total",":",""
"1995","European Union (28 countries)","Total","Percentage of total population","Total",":",""
"1995","European Union (28 countries)","Total","Percentage of active population","Total",":",""
"1995","European Union (27 countries)","Total","Thousand persons","Total",":",""
"1995","European Union (27 countries)","Total","Percentage of total population","Total",":",""
"1995","European Union (27 countries)","Total","Percentage of active population","Total",":",""
"1995","European Union (25 countries)","Total","Thousand persons","Total",":",""
"1995","European Union (25 countries)","Total","Percentage of total population","Total",":",""
"1995","European Union (25 countries)","Total","Percentage of active population","Total",":",""
"1995","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","13,886",""
"1995","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"1995","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","10.8",""
"1995","Euro area (19 countries)","Total","Thousand persons","Total",":",""
"1995","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"1995","Euro area (19 countries)","Total","Percentage of active population","Total",":",""
"1995","Euro area (18 countries)","Total","Thousand persons","Total",":",""
"1995","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"1995","Euro area (18 countries)","Total","Percentage of active population","Total",":",""
"1995","Belgium","Total","Thousand persons","Total","407",""
"1995","Belgium","Total","Percentage of total population","Total",":",""
"1995","Belgium","Total","Percentage of active population","Total","9.7",""
"1995","Bulgaria","Total","Thousand persons","Total","343",""
"1995","Bulgaria","Total","Percentage of total population","Total",":",""
"1995","Bulgaria","Total","Percentage of active population","Total",":",""
"1995","Czech Republic","Total","Thousand persons","Total","208",""
"1995","Czech Republic","Total","Percentage of total population","Total",":",""
"1995","Czech Republic","Total","Percentage of active population","Total","4.0",""
"1995","Denmark","Total","Thousand persons","Total","188",""
"1995","Denmark","Total","Percentage of total population","Total",":",""
"1995","Denmark","Total","Percentage of active population","Total","6.7",""
"1995","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,205",""
"1995","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"1995","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","8.2",""
"1995","Estonia","Total","Thousand persons","Total",":",""
"1995","Estonia","Total","Percentage of total population","Total",":",""
"1995","Estonia","Total","Percentage of active population","Total",":",""
"1995","Ireland","Total","Thousand persons","Total","177",""
"1995","Ireland","Total","Percentage of total population","Total",":",""
"1995","Ireland","Total","Percentage of active population","Total","12.3",""
"1995","Greece","Total","Thousand persons","Total",":",""
"1995","Greece","Total","Percentage of total population","Total",":",""
"1995","Greece","Total","Percentage of active population","Total",":",""
"1995","Spain","Total","Thousand persons","Total","3,279","i"
"1995","Spain","Total","Percentage of total population","Total",":",""
"1995","Spain","Total","Percentage of active population","Total","20.7","i"
"1995","France","Total","Thousand persons","Total","2,649","i"
"1995","France","Total","Percentage of total population","Total",":",""
"1995","France","Total","Percentage of active population","Total","10.2","i"
"1995","Croatia","Total","Thousand persons","Total",":",""
"1995","Croatia","Total","Percentage of total population","Total",":",""
"1995","Croatia","Total","Percentage of active population","Total",":",""
"1995","Italy","Total","Thousand persons","Total","2,616",""
"1995","Italy","Total","Percentage of total population","Total",":",""
"1995","Italy","Total","Percentage of active population","Total","11.2",""
"1995","Cyprus","Total","Thousand persons","Total",":",""
"1995","Cyprus","Total","Percentage of total population","Total",":",""
"1995","Cyprus","Total","Percentage of active population","Total",":",""
"1995","Latvia","Total","Thousand persons","Total",":",""
"1995","Latvia","Total","Percentage of total population","Total",":",""
"1995","Latvia","Total","Percentage of active population","Total",":",""
"1995","Lithuania","Total","Thousand persons","Total",":",""
"1995","Lithuania","Total","Percentage of total population","Total",":",""
"1995","Lithuania","Total","Percentage of active population","Total",":",""
"1995","Luxembourg","Total","Thousand persons","Total","5",""
"1995","Luxembourg","Total","Percentage of total population","Total",":",""
"1995","Luxembourg","Total","Percentage of active population","Total","2.9",""
"1995","Hungary","Total","Thousand persons","Total","391",""
"1995","Hungary","Total","Percentage of total population","Total",":",""
"1995","Hungary","Total","Percentage of active population","Total",":",""
"1995","Malta","Total","Thousand persons","Total","7",""
"1995","Malta","Total","Percentage of total population","Total",":",""
"1995","Malta","Total","Percentage of active population","Total",":",""
"1995","Netherlands","Total","Thousand persons","Total","620",""
"1995","Netherlands","Total","Percentage of total population","Total",":",""
"1995","Netherlands","Total","Percentage of active population","Total","8.3",""
"1995","Austria","Total","Thousand persons","Total","159",""
"1995","Austria","Total","Percentage of total population","Total",":",""
"1995","Austria","Total","Percentage of active population","Total","4.2",""
"1995","Poland","Total","Thousand persons","Total","2,279",""
"1995","Poland","Total","Percentage of total population","Total",":",""
"1995","Poland","Total","Percentage of active population","Total",":",""
"1995","Portugal","Total","Thousand persons","Total","388",""
"1995","Portugal","Total","Percentage of total population","Total",":",""
"1995","Portugal","Total","Percentage of active population","Total","7.9",""
"1995","Romania","Total","Thousand persons","Total","1,248",""
"1995","Romania","Total","Percentage of total population","Total",":",""
"1995","Romania","Total","Percentage of active population","Total",":",""
"1995","Slovenia","Total","Thousand persons","Total","66",""
"1995","Slovenia","Total","Percentage of total population","Total",":",""
"1995","Slovenia","Total","Percentage of active population","Total",":",""
"1995","Slovakia","Total","Thousand persons","Total","291",""
"1995","Slovakia","Total","Percentage of total population","Total",":",""
"1995","Slovakia","Total","Percentage of active population","Total",":",""
"1995","Finland","Total","Thousand persons","Total","382",""
"1995","Finland","Total","Percentage of total population","Total",":",""
"1995","Finland","Total","Percentage of active population","Total","15.4",""
"1995","Sweden","Total","Thousand persons","Total","391",""
"1995","Sweden","Total","Percentage of total population","Total",":",""
"1995","Sweden","Total","Percentage of active population","Total","8.8",""
"1995","United Kingdom","Total","Thousand persons","Total","2,383",""
"1995","United Kingdom","Total","Percentage of total population","Total",":",""
