"행정구역(구)별","경제활동별","2010","2010","2010","2010","2010","2010","2010","2010","2010","2009","2009","2009","2009","2009","2009","2009","2009","2009","2008","2008","2008","2008","2008","2008","2008","2008","2008","2007","2007","2007","2007","2007","2007","2007","2007","2007","2006","2006","2006","2006","2006","2006","2006","2006","2006","2005","2005","2005","2005","2005","2005","2005","2005","2005"
"행정구역(구)별","경제활동별","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)"
"광주광역시","숙박및음식점업","1,673,505","1,154,585","518,920","25,358","493,562","6,986","486,576","1,443,091","485,658","1,659,267","1,149,933","509,334","24,111","485,223","6,540","478,683","1,463,591","485,256","1,669,541","1,131,130","538,411","25,034","513,377","5,554","507,823","1,533,468","507,112","1,531,012","1,011,089","519,923","24,889","495,034","8,022","487,012","1,482,055","488,936","1,448,766","961,774","486,992","22,661","464,331","7,473","456,858","1,427,385","471,058","1,349,523","894,266","455,257","21,544","433,713","6,008","427,705","1,349,523","455,257"
"광주광역시","정보및통신업","1,349,114","834,152","514,962","112,487","402,475","1,481","400,994","1,326,684","578,745","1,283,559","791,546","492,013","168,776","323,237","1,402","321,835","1,254,111","534,291","1,151,159","703,161","447,998","154,367","293,631","1,219","292,412","1,157,623","496,518","1,154,798","657,417","497,381","156,073","341,308","5,998","335,310","1,163,718","519,412","1,133,338","637,060","496,278","152,542","343,736","7,142","336,594","1,130,126","501,374","1,084,261","599,412","484,849","152,508","332,341","5,724","326,617","1,084,261","484,849"
"광주광역시","금융및보험업","2,677,230","1,250,051","1,427,179","75,365","1,351,814","7,639","1,344,175","2,595,717","1,397,917","2,453,562","1,182,998","1,270,564","73,384","1,197,180","7,167","1,190,013","2,498,257","1,331,961","2,508,430","1,184,884","1,323,546","73,346","1,250,200","5,999","1,244,201","2,462,484","1,331,229","2,298,156","1,056,095","1,242,061","68,514","1,173,547","9,081","1,164,466","2,315,797","1,276,609","2,008,174","881,605","1,126,569","63,723","1,062,846","8,152","1,054,694","2,012,571","1,142,230","1,926,851","789,139","1,137,712","61,101","1,076,611","6,284","1,070,327","1,926,851","1,137,712"
"광주광역시","부동산업및임대업","2,334,474","588,695","1,745,779","343,270","1,402,509","83,857","1,318,652","2,184,169","1,612,307","2,281,916","575,816","1,706,100","327,166","1,378,934","79,926","1,299,008","2,148,808","1,568,747","2,213,705","560,256","1,653,449","302,550","1,350,899","79,954","1,270,945","2,113,527","1,551,100","2,118,331","527,619","1,590,712","293,623","1,297,089","99,966","1,197,123","2,061,926","1,503,120","2,050,867","532,019","1,518,848","282,989","1,235,859","81,623","1,154,236","2,023,226","1,491,335","1,951,545","514,289","1,437,256","269,761","1,167,495","55,748","1,111,747","1,951,545","1,437,256"
"광주광역시","사업서비스업","1,651,488","607,763","1,043,725","43,341","1,000,384","4,976","995,408","1,389,490","852,469","1,485,852","518,058","967,794","43,651","924,143","4,695","919,448","1,285,684","815,635","1,401,645","483,385","918,260","41,015","877,245","4,101","873,144","1,230,271","788,222","1,292,230","451,568","840,662","38,254","802,408","4,807","797,601","1,215,750","768,222","1,175,397","413,692","761,705","35,062","726,643","4,086","722,557","1,137,911","727,079","1,059,710","377,097","682,613","31,235","651,378","3,349","648,029","1,059,710","682,613"
"광주광역시","공공행정,국방및사회보장행정","2,051,138","561,209","1,489,929","343,920","1,146,009","130","1,145,879","1,759,218","1,275,417","1,994,722","565,011","1,429,711","309,797","1,119,914","119","1,119,795","1,741,250","1,239,909","1,821,673","521,693","1,299,980","267,775","1,032,205","109","1,032,096","1,645,171","1,170,473","1,663,800","431,235","1,232,565","238,615","993,950","100","993,850","1,572,839","1,154,537","1,524,831","369,868","1,154,963","221,124","933,839","78","933,761","1,482,481","1,120,574","1,659,525","407,209","1,252,316","221,140","1,031,176","82","1,031,094","1,659,525","1,252,316"
"광주광역시","교육서비스업","2,825,584","615,137","2,210,447","194,926","2,015,521","2,443","2,013,078","2,323,684","1,814,865","2,741,311","629,683","2,111,628","183,552","1,928,076","2,340","1,925,736","2,297,973","1,766,027","2,519,531","535,930","1,983,601","167,285","1,816,316","2,199","1,814,117","2,177,389","1,714,737","2,324,714","468,647","1,856,067","150,484","1,705,583","2,889","1,702,694","2,123,013","1,685,361","2,125,574","424,217","1,701,357","143,738","1,557,619","691","1,556,928","2,043,983","1,635,317","1,916,673","372,921","1,543,752","131,081","1,412,671","563","1,412,108","1,916,673","1,543,752"
"광주광역시","보건업및사회복지서비스업","2,672,667","1,186,708","1,485,959","140,578","1,345,381","5,572","1,339,809","2,344,630","1,293,201","2,422,043","1,078,334","1,343,709","126,800","1,216,909","5,167","1,211,742","2,175,326","1,198,206","2,087,964","933,644","1,154,320","111,070","1,043,250","4,404","1,038,846","1,918,317","1,033,997","1,871,978","832,040","1,039,938","101,213","938,725","3,636","935,089","1,776,859","962,639","1,656,556","740,595","915,961","89,971","825,990","769","825,221","1,619,536","887,134","1,457,371","628,737","828,634","82,398","746,236","582","745,654","1,457,371","828,634"
"광주광역시","예술,스포츠및여가관련서비스업","418,071","193,285","224,786","22,971","201,815","7,915","193,900","379,715","210,455","377,975","163,548","214,427","22,977","191,450","7,303","184,147","348,196","201,029","370,305","161,131","209,174","22,192","186,982","5,649","181,333","353,553","203,418","346,703","149,679","197,024","19,968","177,056","1,617","175,439","338,574","192,833","340,948","148,978","191,970","19,232","172,738","357","172,381","339,719","193,122","316,636","141,313","175,323","17,586","157,737","284","157,453","316,636","175,323"
"광주광역시","기타서비스업","1,604,419","891,866","712,553","50,199","662,354","10,306","652,048","1,407,351","632,099","1,478,002","808,924","669,078","47,165","621,913","9,580","612,333","1,320,787","604,937","1,423,132","764,923","658,209","48,722","609,487","7,751","601,736","1,294,207","600,923","1,323,502","708,454","615,048","46,373","568,675","1,968","566,707","1,258,587","584,481","1,214,548","654,766","559,782","42,121","517,661","455","517,206","1,183,573","548,042","1,137,212","622,349","514,863","39,004","475,859","358","475,501","1,137,212","514,863"
