"","date","place","CO2","O3","CO","SO2","TinyDust","MicroDust","Year","Month","Day","date2"
"58",20170522,"정릉로",0.03,0.032,0.4,0.006,57,29,"2017","05","22",2017-05-22
"59",20170522,"종로",0.041,0.027,0.4,0.004,44,28,"2017","05","22",2017-05-22
"60",20170522,"홍릉로",0.042,0.024,0.5,0.006,49,32,"2017","05","22",2017-05-22
"61",20170522,"용산구",0.024,0.017,0.2,0.004,34,25,"2017","05","22",2017-05-22
"62",20170522,"강서구",0.026,0.037,0.3,0.006,41,21,"2017","05","22",2017-05-22
"63",20170522,"화랑로",0.044,0.021,0.5,0.004,58,NA,"2017","05","22",2017-05-22
"64",20170522,"청계천로",0.039,0.027,0.6,0.005,48,33,"2017","05","22",2017-05-22
"65",20170522,"성북구",0.031,0.03,0.5,0.004,52,32,"2017","05","22",2017-05-22
"66",20170522,"양천구",0.026,0.025,0.4,0.005,33,27,"2017","05","22",2017-05-22
"67",20170522,"영등포구",0.032,0.034,0.6,0.005,43,20,"2017","05","22",2017-05-22
"68",20170522,"동대문구",0.024,0.03,0.4,0.005,39,23,"2017","05","22",2017-05-22
"69",20170522,"서초구",0.028,0.034,0.4,0.006,45,27,"2017","05","22",2017-05-22
"70",20170522,"관악구",0.028,0.034,0.4,0.004,46,26,"2017","05","22",2017-05-22
"71",20170522,"영등포로",0.055,0.011,0.4,0.006,53,NA,"2017","05","22",2017-05-22
"72",20170522,"구로구",0.022,0.029,0.4,0.007,42,24,"2017","05","22",2017-05-22
"73",20170522,"강변북로",0.054,0.016,0.5,0.005,52,NA,"2017","05","22",2017-05-22
"74",20170522,"강남대로",0.06,0.018,0.5,0.006,54,NA,"2017","05","22",2017-05-22
"75",20170522,"한강대로",0.042,0.024,0.4,0.005,57,NA,"2017","05","22",2017-05-22
"76",20170522,"중구",0.031,0.034,0.4,0.004,35,23,"2017","05","22",2017-05-22
"77",20170522,"서대문구",0.03,0.031,0.4,0.006,44,33,"2017","05","22",2017-05-22
"78",20170522,"강동구",0.029,0.031,0.4,0.004,51,22,"2017","05","22",2017-05-22
"79",20170521,"도산대로",0.026,0.033,0.4,0.005,33,20,"2017","05","21",2017-05-21
"80",20170521,"화랑로",0.042,0.023,0.7,0.004,56,NA,"2017","05","21",2017-05-21
"81",20170521,"종로구",0.024,0.042,0.4,0.004,26,15,"2017","05","21",2017-05-21
"82",20170521,"신촌로",0.054,0.017,0.7,0.005,40,26,"2017","05","21",2017-05-21
"83",20170521,"서초구",0.019,0.046,0.4,0.006,32,19,"2017","05","21",2017-05-21
"84",20170521,"청계천로",0.029,0.036,0.4,0.005,34,21,"2017","05","21",2017-05-21
"85",20170521,"강북구",0.017,0.046,0.3,0.003,25,15,"2017","05","21",2017-05-21
"86",20170521,"송파구",0.023,0.04,0.4,0.005,33,19,"2017","05","21",2017-05-21
"87",20170521,"용산구",0.023,0.021,0.2,0.004,26,19,"2017","05","21",2017-05-21
"88",20170521,"중랑구",0.026,0.035,0.3,0.006,35,21,"2017","05","21",2017-05-21
"89",20170521,"정릉로",0.024,0.042,0.4,0.006,39,21,"2017","05","21",2017-05-21
"90",20170521,"강남대로",0.048,0.023,0.5,0.005,41,NA,"2017","05","21",2017-05-21
"91",20170521,"관악구",0.02,0.044,0.3,0.005,37,22,"2017","05","21",2017-05-21
"92",20170521,"한강대로",0.038,0.03,0.4,0.005,43,NA,"2017","05","21",2017-05-21
"93",20170521,"광진구",0.023,0.045,0.4,0.004,27,14,"2017","05","21",2017-05-21
"94",20170521,"홍릉로",0.038,0.028,0.4,0.006,36,21,"2017","05","21",2017-05-21
"95",20170521,"동작대로",0.048,0.028,0.5,0.006,38,NA,"2017","05","21",2017-05-21
"96",20170521,"서대문구",0.029,0.035,0.4,0.006,32,20,"2017","05","21",2017-05-21
"97",20170521,"양천구",0.021,0.032,0.4,0.005,27,23,"2017","05","21",2017-05-21
"98",20170521,"천호대로",0.035,0.033,0.4,0.004,28,18,"2017","05","21",2017-05-21
"99",20170521,"성동구",0.023,0.026,0.3,0.005,64,21,"2017","05","21",2017-05-21
"100",20170521,"강동구",0.026,0.036,0.4,0.004,33,15,"2017","05","21",2017-05-21
"101",20170521,"노원구",0.025,0.041,0.4,0.003,31,18,"2017","05","21",2017-05-21
"102",20170521,"강변북로",0.044,0.026,0.4,0.005,37,NA,"2017","05","21",2017-05-21
"103",20170521,"은평구",0.025,0.039,0.4,0.005,31,19,"2017","05","21",2017-05-21
"104",20170521,"중구",0.025,0.042,0.3,0.004,26,16,"2017","05","21",2017-05-21
"105",20170521,"성북구",0.024,0.037,0.4,0.004,33,20,"2017","05","21",2017-05-21
"106",20170521,"동대문구",0.022,0.032,0.4,0.005,26,16,"2017","05","21",2017-05-21
"107",20170521,"도봉구",0.017,0.043,0.5,0.004,31,20,"2017","05","21",2017-05-21
"108",20170521,"강서구",0.021,0.044,0.3,0.007,32,19,"2017","05","21",2017-05-21
"109",20170521,"영등포로",0.045,0.018,0.3,0.006,42,NA,"2017","05","21",2017-05-21
"110",20170521,"강남구",0.019,0.036,0.3,0.005,31,17,"2017","05","21",2017-05-21
"111",20170521,"종로",0.029,0.035,0.2,0.004,30,20,"2017","05","21",2017-05-21
"112",20170521,"구로구",0.014,0.039,0.4,0.006,32,19,"2017","05","21",2017-05-21
