"행정구역(구)별","경제활동별","2005","2005","2006","2006","2007","2007","2008","2008","2009","2009","2010","2010"
"행정구역(구)별","경제활동별","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)"
"동      구","교육서비스업","272,577","272,577","299,835","287,204","341,854","306,419","288,342","245,703","399,497","334,585","387,670","319,333"
"동      구","보건업및사회복지서비스업","79,879","79,879","157,889","152,334","182,971","167,845","177,960","156,609","206,409","181,800","233,383","200,033"
"동      구","예술,스포츠및여가관련서비스업","26,915","26,915","29,671","29,814","30,387","29,583","22,081","21,072","5,207","3,611","30,132","28,123"
"동      구","기타서비스업","49,045","49,045","48,211","47,418","55,250","52,462","64,072","57,731","62,255","53,879","66,718","56,128"
"서     구","지역내총생산(시장가격)","4,622,198","4,622,198","5,035,941","4,973,191","5,267,680","5,174,077","5,482,316","5,181,107","5,551,551","4,992,632","6,035,518","5,303,694"
"서     구","순생산물세","330,526","330,526","375,400","389,542","354,687","376,189","202,522","201,012","351,935","322,874","344,465","299,091"
"서     구","총부가가치(기초가격)","4,291,672","4,291,672","4,660,541","4,583,649","4,912,993","4,797,888","5,279,794","4,980,096","5,199,616","4,669,758","5,691,053","5,004,603"
"서     구","농림어업","17,945","17,945","17,169","17,432","17,191","17,380","17,786","19,245","17,501","18,154","19,816","16,226"
"서     구","광업","495","495","1,289","1,384","644","690","3,606","3,226","2,708","2,236","2,778","1,998"
"서     구","제조업","1,033,639","1,033,639","1,339,333","1,350,493","1,419,060","1,469,566","1,368,630","1,303,395","1,218,659","979,657","1,582,800","1,288,642"
"서     구","전기,가스,증기및수도사업","69,512","69,512","68,569","67,118","55,027","52,201","29,123","66,022","55,280","60,851","69,009","56,173"
"서     구","건설업","336,531","336,531","326,381","321,157","308,039","294,042","335,316","267,018","426,754","392,473","256,725","227,894"
"서     구","도매및소매업","553,039","553,039","649,308","647,093","638,271","627,615","829,888","804,333","667,006","632,741","711,596","649,995"
"서     구","운수업","183,165","183,165","189,688","187,144","138,413","128,960","184,210","187,139","139,107","128,091","167,643","155,219"
"서     구","숙박및음식점업","109,450","109,450","120,163","116,239","127,400","119,829","131,996","124,412","133,351","126,943","126,293","118,037"
"서     구","정보및통신업","104,289","104,289","68,933","69,721","61,594","60,636","81,933","93,067","100,823","109,410","126,449","139,310"
"서     구","금융및보험업","250,656","250,656","309,428","311,046","373,680","374,271","496,152","498,423","487,312","511,426","644,704","638,000"
"서     구","부동산업및임대업","391,202","391,202","379,837","344,182","465,828","438,857","487,628","450,908","499,795","459,342","510,525","471,625"
"서     구","사업서비스업","137,979","137,979","220,499","209,556","197,791","178,967","314,082","269,328","293,193","243,572","304,687","240,885"
"서     구","공공행정,국방및사회보장행정","628,267","628,267","426,615","413,971","495,360","464,092","282,253","254,184","324,468","281,597","327,505","280,443"
"서     구","교육서비스업","221,939","221,939","239,463","230,511","266,245","243,373","300,401","260,183","385,795","323,721","374,095","310,419"
"서     구","보건업및사회복지서비스업","133,017","133,017","162,327","157,393","195,523","181,300","226,775","204,034","248,489","222,046","279,202","243,519"
"서     구","예술,스포츠및여가관련서비스업","32,705","32,705","35,449","35,792","36,357","35,986","40,556","39,789","49,898","47,156","44,932","42,356"
"서     구","기타서비스업","87,842","87,842","106,090","103,417","116,570","110,124","149,459","135,389","149,478","130,342","142,294","123,861"
"남     구","지역내총생산(시장가격)","1,454,949","1,454,949","1,503,656","1,474,400","1,528,144","1,456,765","1,761,758","1,660,034","1,826,780","1,659,530","2,032,342","1,785,505"
"남     구","순생산물세","53,928","53,928","52,120","55,613","54,302","58,121","67,593","77,915","68,383","66,340","76,874","69,896"
"남     구","총부가가치(기초가격)","1,401,020","1,401,020","1,451,535","1,418,787","1,473,842","1,398,644","1,694,165","1,582,119","1,758,397","1,593,190","1,955,468","1,715,609"
"남     구","농림어업","33,249","33,249","33,828","34,360","33,858","34,256","25,892","26,945","28,101","27,982","32,693","25,474"
"남     구","광업","332","332","6","6","9","10","1.682890987","1.505625464","1","1","1","1"
"남     구","제조업","24,361","24,361","24,939","24,698","24,171","24,142","50,659","46,534","39,469","33,281","53,125","44,726"
"남     구","전기,가스,증기및수도사업","1,175","1,175","621","598","7,265","6,885","14,624","28,822","24,707","26,751","32,058","26,276"
"남     구","건설업","162,176","162,176","177,686","175,281","192,001","183,970","172,999","148,684","153,679","142,429","165,805","151,418"
"남     구","도매및소매업","191,966","191,966","194,899","194,145","161,268","158,579","182,465","177,275","164,592","154,233","233,911","207,736"
"남     구","운수업","88,424","88,424","90,823","89,989","91,095","84,457","113,945","112,853","100,286","92,451","84,032","76,874"
"남     구","숙박및음식점업","42,394","42,394","45,329","43,842","50,304","47,297","51,522","48,496","52,219","49,833","49,469","46,381"
"남     구","정보및통신업","82,705","82,705","31,535","31,683","38,414","38,571","87,014","96,793","85,035","91,628","77,054","86,505"
"남     구","금융및보험업","80,182","80,182","86,714","88,807","86,911","93,151","73,590","74,078","64,432","67,741","60,616","57,983"
"남     구","부동산업및임대업","123,008","123,008","122,681","115,969","125,567","119,362","134,778","128,619","132,796","122,185","135,654","125,307"
"남     구","사업서비스업","63,492","63,492","42,960","41,371","48,327","43,902","71,890","63,803","97,712","85,470","96,980","78,703"
"남     구","공공행정,국방및사회보장행정","76,360","76,360","77,308","75,017","81,849","76,683","87,176","78,507","105,943","91,945","136,025","116,478"
"남     구","교육서비스업","247,252","247,252","257,362","246,855","269,729","243,203","323,660","276,740","394,573","327,989","423,091","345,206"
"남     구","보건업및사회복지서비스업","98,756","98,756","169,653","164,045","164,857","151,856","197,410","176,348","223,727","199,248","254,663","221,463"
"남     구","예술,스포츠및여가관련서비스업","19,988","19,988","22,370","22,195","23,274","22,011","19,669","19,105","4,994","4,036","26,281","24,511"
"남     구","기타서비스업","65,200","65,200","72,821","69,926","74,943","70,310","86,871","78,516","86,130","75,988","94,010","80,566"
"북     구","지역내총생산(시장가격)","5,324,996","5,324,996","5,462,830","5,291,481","5,607,302","5,417,595","5,679,448","5,410,804","5,724,644","5,330,745","6,524,175","5,943,887"
"북     구","순생산물세","666,879","666,879","731,494","711,053","767,384","756,420","788,784","799,399","735,047","697,303","851,556","791,043"
